Year,Month,Album Title,Artist Name,Genre,Date,Distribution,Rating,Music Count
2017,1,Mixxxture Project Vol. 1,다이나믹 듀오(Dynamic Duo),랩/힙합,2017.01.24,로엔 엔터테인먼트,8.7,1
2017,1,2016 Re-ALBUM,젝스키스,발라드,2016.12.01,YG PLUS,8.6,10
2017,1,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,1,남아있어,로꼬,랩/힙합,2016.11.04,로엔 엔터테인먼트,7.2,1
2017,1,도깨비 OST Part 11,Various Artists,드라마음악,2017.01.09,(주)지니뮤직,8.8,3
2017,1,구르미 그린 달빛 (KBS2 월화드라마) OST - Part 3,거미,드라마음악,2016.09.06,(주)벅스,8.6,2
2017,1,이별을 배웠어 (Always In My Heart) - SM STATION,임슬옹,발라드,2016.11.04,(주)아이리버,8.7,2
2017,1,8집 pathos,M.C THE MAX,발라드,2016.01.28,(주)뮤직앤뉴,8.6,10
2017,1,거짓말,매드 클라운(Mad Clown),랩/힙합,2016.11.25,로엔 엔터테인먼트,8.2,1
2017,1,And July,헤이즈(Heize),랩/힙합,2016.07.18,(주)지니뮤직,8.2,6
2017,1,쇼미더머니 5 Episode 4,Various Artists,랩/힙합,2016.07.09,(주)지니뮤직,6.3,6
2017,1,130 mood : TRBL,DEAN,알앤비/어반,2016.03.24,Universal,9.4,7
2017,1,목요일 밤,어반 자카파(Urban Zakapa),알앤비/어반,2016.08.25,로엔 엔터테인먼트,7.4,1
2017,1,BERMUDA TRIANGLE,지코(ZICO),랩/힙합,2016.11.28,(주)지니뮤직,7.2,1
2017,1,2집 WINGS,방탄소년단,랩/힙합,2016.10.10,(주)아이리버,8.8,15
2017,1,2집 사춘기 하 (思春記 下),악동뮤지션,"발라드,  락,  포크",2017.01.03,(주)지니뮤직,9.2,8
2017,1,나비잠 (Sweet Dream) - SM STATION,김희철X민경훈,락,2016.11.20,(주)아이리버,8.7,2
2017,1,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,1,푸른 바다의 전설 OST Part 2,윤미래,드라마음악,2016.11.24,로엔 엔터테인먼트,8.4,2
2017,1,도깨비 OST Part 11,Various Artists,드라마음악,2017.01.09,(주)지니뮤직,8.8,3
2017,1,2집 사춘기 하 (思春記 下),악동뮤지션,"발라드,  락,  포크",2017.01.03,(주)지니뮤직,9.2,8
2017,1,AOA 1st Album ANGEL'S KNOCK,AOA,댄스,2017.01.02,로엔엔터테인먼트,6.7,10
2017,1,Russian Roulette - The 3rd Mini Album,Red Velvet (레드벨벳),댄스,2016.09.07,(주)아이리버,8.4,7
2017,1,도깨비 OST Part 13,마마무(Mamamoo),드라마음악,2017.01.15,(주)지니뮤직,8.4,2
2017,1,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,1,2집 사춘기 하 (思春記 下),악동뮤지션,"발라드,  락,  포크",2017.01.03,(주)지니뮤직,9.2,8
2017,1,4집 EVERYTHING YOU WANTED,박재범,알앤비/어반,2016.10.20,(주)지니뮤직,8.9,19
2017,1,도깨비 OST Part 14,헤이즈(Heize),드라마음악,2017.01.21,(주)지니뮤직,3,2
2017,1,miss me?,아이오아이 (I.O.I),댄스,2016.10.17,(주)지니뮤직,7.9,5
2017,1,11:11,태연 (TAEYEON),발라드,2016.11.01,(주)아이리버,8.1,2
2017,1,이 소설의 끝을 다시 써보려 해,한동근,발라드,2014.09.30,로엔 엔터테인먼트,8.8,1
2017,1,목소리,정승환,발라드,2016.11.29,지니뮤직,8.7,6
2017,1,무한도전 위대한 유산,무한도전,랩/힙합,2016.12.31,로엔 엔터테인먼트,8,6
2017,1,무한도전 위대한 유산,무한도전,랩/힙합,2016.12.31,로엔 엔터테인먼트,8,6
2017,1,2집 사춘기 하 (思春記 下),악동뮤지션,"발라드,  락,  포크",2017.01.03,(주)지니뮤직,9.2,8
2017,1,Yes? No?,수지(SUZY),알앤비/어반,2017.01.24,(주)아이리버,7.7,6
2017,1,MEMORY,마마무(Mamamoo),댄스,2016.11.07,(주)지니뮤직,8.8,8
2017,1,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,1,TWICEcoaster : LANE 1,TWICE(트와이스),댄스,2016.10.24,(주)아이리버,7.7,7
2017,1,도깨비 OST Part 10,어반 자카파(Urban Zakapa),드라마음악,2017.01.08,(주)지니뮤직,7.6,2
2017,1,도깨비 OST Part 5,에디킴,드라마음악,2016.12.24,(주)지니뮤직,7.6,2
2017,1,MADE,BIGBANG,랩/힙합,2016.12.13,YG PLUS,8.6,11
2017,1,무한도전 위대한 유산,무한도전,랩/힙합,2016.12.31,로엔 엔터테인먼트,8,6
2017,1,2집 사춘기 하 (思春記 下),악동뮤지션,"발라드,  락,  포크",2017.01.03,(주)지니뮤직,9.2,8
2017,1,도깨비 OST Part 9,에일리,드라마음악,2017.01.07,(주)지니뮤직,8.6,2
2017,1,소나기,아이오아이 (I.O.I),발라드,2017.01.18,(주)지니뮤직,8.7,1
2017,1,2집 사춘기 하 (思春記 下),악동뮤지션,"발라드,  락,  포크",2017.01.03,(주)지니뮤직,9.2,8
2017,1,또 오해영 OST Part 5,정승환,드라마음악,2016.05.31,(주)지니뮤직,8.5,2
2017,1,13TH UNCHANGING - TOUCH,신화,댄스,2017.01.02,(주)지니뮤직,9.5,10
2017,1,무한도전 위대한 유산,무한도전,랩/힙합,2016.12.31,로엔 엔터테인먼트,8,6
2017,1,MADE,BIGBANG,랩/힙합,2016.12.13,YG PLUS,8.6,11
2017,1,도깨비 OST Part 12,로이킴,드라마음악,2017.01.14,(주)지니뮤직,6.9,2
2017,1,돌아오지마,헤이즈(Heize),랩/힙합,2016.04.14,(주)지니뮤직,7.9,2
2017,1,Jelly box 꽃길 [Prod. By 지코(ZICO)] 세정,세정(구구단),발라드,2016.11.23,(주)지니뮤직,8.3,2
2017,1,스틸,어반 자카파(Urban Zakapa),발라드,2016.05.27,로엔 엔터테인먼트,8,5
2017,1,무한도전 위대한 유산,무한도전,랩/힙합,2016.12.31,로엔 엔터테인먼트,8,6
2017,1,The 3rd Digital Single '그대라는 사치',한동근,발라드,2016.08.24,로엔엔터테인먼트,9.3,1
2017,1,SQUARE TWO,BLACKPINK,댄스,2016.11.01,YG PLUS,7.5,3
2017,1,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,1,저 별,헤이즈(Heize),알앤비/어반,2016.12.05,(주)지니뮤직,7.6,1
2017,1,도깨비 OST Part 2,10cm,드라마음악,2016.12.10,(주)지니뮤직,8,2
2017,1,MADE,BIGBANG,랩/힙합,2016.12.13,YG PLUS,8.6,11
2017,1,도깨비 OST Part 3,Lasse Lindh,드라마음악,2016.12.11,(주)지니뮤직,9,1
2017,1,도깨비 OST Part 8,정준일,드라마음악,2017.01.01,(주)지니뮤직,7.4,2
2017,1,Full Album RED PLANET [Hidden Track],볼빨간사춘기,포크,2016.12.21,(주)엔에이치엔벅스,8.2,1
2017,1,도깨비 OST Part 6,샘김,드라마음악,2016.12.25,(주)지니뮤직,8.9,2
2017,1,도깨비 OST Part 7,소유(SOYOU),드라마음악,2016.12.31,(주)지니뮤직,7.8,2
2017,1,도깨비 OST Part 1,찬열,드라마음악,2016.12.03,(주)지니뮤직,7.4,2
2017,1,도깨비 OST Part 4,크러쉬(CRUSH),드라마음악,2016.12.17,(주)지니뮤직,8.4,2
2017,2,거짓말,매드 클라운(Mad Clown),랩/힙합,2016.11.25,로엔 엔터테인먼트,8.2,1
2017,2,여자친구 The 1st Album 'LOL',여자친구(GFRIEND),댄스,2016.07.11,로엔엔터테인먼트,8.1,12
2017,2,24K Magic,Bruno Mars,팝,2016.11.18,워너뮤직코리아,9.1,9
2017,2,2집 사춘기 하 (思春記 下),악동뮤지션,"발라드,  락,  포크",2017.01.03,(주)지니뮤직,9.2,8
2017,2,응답하라 1988 OST Part 2,이적,드라마음악,2015.11.07,(주)지니뮤직,8.6,1
2017,2,Nine Track Mind (Deluxe),Charlie Puth,팝,2016.11.11,워너뮤직코리아,9.3,16
2017,2,도깨비 OST Part 11,Various Artists,드라마음악,2017.01.09,(주)지니뮤직,8.8,3
2017,2,쇼미더머니 5 Episode 4,Various Artists,랩/힙합,2016.07.09,(주)지니뮤직,6.3,6
2017,2,BERMUDA TRIANGLE,지코(ZICO),랩/힙합,2016.11.28,(주)지니뮤직,7.2,1
2017,2,8집 pathos,M.C THE MAX,발라드,2016.01.28,(주)뮤직앤뉴,8.6,10
2017,2,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,2,웃긴 밤,권진아,발라드,2016.09.19,(주)지니뮤직,8.5,7
2017,2,MADE,BIGBANG,랩/힙합,2016.12.13,YG PLUS,8.6,11
2017,2,Red Pill Blues (Deluxe Edition),Maroon 5,"팝,  얼터너티브 락",2017.11.03,유니버설뮤직,6.9,21
2017,2,In The Lonely Hour,Sam Smith,팝,2014.05.27,유니버설뮤직,9.3,10
2017,2,YOU NEVER WALK ALONE,방탄소년단,랩/힙합,2017.02.13,(주)아이리버,8.8,18
2017,2,13집 I'M,임창정,발라드,2016.09.06,(주)인터파크,9,14
2017,2,최고의 선물,비,발라드,2017.01.15,로엔 엔터테인먼트,7.5,2
2017,2,Jelly box 꽃길 [Prod. By 지코(ZICO)] 세정,세정(구구단),발라드,2016.11.23,(주)지니뮤직,8.3,2
2017,2,2집 사춘기 하 (思春記 下),악동뮤지션,"발라드,  락,  포크",2017.01.03,(주)지니뮤직,9.2,8
2017,2,11:11,태연 (TAEYEON),발라드,2016.11.01,(주)아이리버,8.1,2
2017,2,돌아오지마,헤이즈(Heize),랩/힙합,2016.04.14,(주)지니뮤직,7.9,2
2017,2,miss me?,아이오아이 (I.O.I),댄스,2016.10.17,(주)지니뮤직,7.9,5
2017,2,2집 OO,Zion.T,알앤비/어반,2017.02.01,(주)지니뮤직,7.1,8
2017,2,스틸,어반 자카파(Urban Zakapa),발라드,2016.05.27,로엔 엔터테인먼트,8,5
2017,2,Purpose,Justin Bieber,팝,2015.11.14,유니버설뮤직,8.8,18
2017,2,도깨비 OST Part 11,Various Artists,드라마음악,2017.01.09,(주)지니뮤직,8.8,3
2017,2,푸른 바다의 전설 OST Part 2,윤미래,드라마음악,2016.11.24,로엔 엔터테인먼트,8.4,2
2017,2,戀書 (연서),허각,발라드,2017.01.31,로엔 엔터테인먼트,7.9,6
2017,2,무한도전 위대한 유산,무한도전,랩/힙합,2016.12.31,로엔 엔터테인먼트,8,6
2017,2,And July,헤이즈(Heize),랩/힙합,2016.07.18,(주)지니뮤직,8.2,6
2017,2,Yes? No?,수지(SUZY),알앤비/어반,2017.01.24,(주)아이리버,7.7,6
2017,2,무한도전 위대한 유산,무한도전,랩/힙합,2016.12.31,로엔 엔터테인먼트,8,6
2017,2,wonderlust,크러쉬(CRUSH),알앤비/어반,2016.10.14,(주)지니뮤직,8.1,5
2017,2,Collage (EP),The Chainsmokers,일렉트로니카,2016.11.05,소니뮤직,7.5,5
2017,2,나비잠 (Sweet Dream) - SM STATION,김희철X민경훈,락,2016.11.20,(주)아이리버,8.7,2
2017,2,SQUARE ONE,BLACKPINK,랩/힙합,2016.08.08,YG PLUS,7,2
2017,2,목요일 밤,어반 자카파(Urban Zakapa),알앤비/어반,2016.08.25,로엔 엔터테인먼트,7.4,1
2017,2,130 mood : TRBL,DEAN,알앤비/어반,2016.03.24,Universal,9.4,7
2017,2,From. 우주소녀,우주소녀,댄스,2017.01.04,로엔 엔터테인먼트,8.2,6
2017,2,YOU NEVER WALK ALONE,방탄소년단,랩/힙합,2017.02.13,(주)아이리버,8.8,18
2017,2,7집 I am A Dreamer,박효신,발라드,2016.10.03,로엔엔터테인먼트,9,12
2017,2,또 오해영 OST Part 5,정승환,드라마음악,2016.05.31,(주)지니뮤직,8.5,2
2017,2,PAGE TWO,TWICE(트와이스),댄스,2016.04.25,(주)아이리버,8.1,7
2017,2,도깨비 OST Part 11,Various Artists,드라마음악,2017.01.09,(주)지니뮤직,8.8,3
2017,2,2집 OO,Zion.T,알앤비/어반,2017.02.01,(주)지니뮤직,7.1,8
2017,2,목소리,정승환,발라드,2016.11.29,지니뮤직,8.7,6
2017,2,소나기,아이오아이 (I.O.I),발라드,2017.01.18,(주)지니뮤직,8.7,1
2017,2,Mixxxture Project Vol. 1,다이나믹 듀오(Dynamic Duo),랩/힙합,2017.01.24,로엔 엔터테인먼트,8.7,1
2017,2,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,2,2집 OO,Zion.T,알앤비/어반,2017.02.01,(주)지니뮤직,7.1,8
2017,2,Boys and Girls Music Vol. 1,샘김,알앤비/어반,2017.01.25,로엔 엔터테인먼트,8.6,2
2017,2,Russian Roulette - The 3rd Mini Album,Red Velvet (레드벨벳),댄스,2016.09.07,(주)아이리버,8.4,7
2017,2,÷ (Deluxe),Ed Sheeran,팝,2017.03.03,워너뮤직코리아,8.5,16
2017,2,저 별,헤이즈(Heize),알앤비/어반,2016.12.05,(주)지니뮤직,7.6,1
2017,2,The 3rd Digital Single '그대라는 사치',한동근,발라드,2016.08.24,로엔엔터테인먼트,9.3,1
2017,2,AOA 1st Album ANGEL'S KNOCK,AOA,댄스,2017.01.02,로엔엔터테인먼트,6.7,10
2017,2,도깨비 OST Part 2,10cm,드라마음악,2016.12.10,(주)지니뮤직,8,2
2017,2,limbo,DEAN,알앤비/어반,2017.02.17,Universal,8.8,2
2017,2,SQUARE TWO,BLACKPINK,댄스,2016.11.01,YG PLUS,7.5,3
2017,2,도깨비 OST Part 14,헤이즈(Heize),드라마음악,2017.01.21,(주)지니뮤직,3,2
2017,2,MEMORY,마마무(Mamamoo),댄스,2016.11.07,(주)지니뮤직,8.8,8
2017,2,신현희와김루트,신현희와김루트,"포크,  인디뮤직",2015.02.26,Mirrorball Music,8.1,6
2017,2,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,2,도깨비 OST Part 8,정준일,드라마음악,2017.01.01,(주)지니뮤직,7.4,2
2017,2,MADE,BIGBANG,랩/힙합,2016.12.13,YG PLUS,8.6,11
2017,2,도깨비 OST Part 5,에디킴,드라마음악,2016.12.24,(주)지니뮤직,7.6,2
2017,2,도깨비 OST Part 6,샘김,드라마음악,2016.12.25,(주)지니뮤직,8.9,2
2017,2,Full Album RED PLANET [Hidden Track],볼빨간사춘기,포크,2016.12.21,(주)엔에이치엔벅스,8.2,1
2017,2,2집 OO,Zion.T,알앤비/어반,2017.02.01,(주)지니뮤직,7.1,8
2017,2,2집 사춘기 하 (思春記 下),악동뮤지션,"발라드,  락,  포크",2017.01.03,(주)지니뮤직,9.2,8
2017,2,Rookie - The 4th Mini Album,Red Velvet (레드벨벳),"댄스,  알앤비/어반",2017.02.01,(주)아이리버,7.7,6
2017,2,도깨비 OST Part 4,크러쉬(CRUSH),드라마음악,2016.12.17,(주)지니뮤직,8.4,2
2017,2,4집 EVERYTHING YOU WANTED,박재범,알앤비/어반,2016.10.20,(주)지니뮤직,8.9,19
2017,2,이 소설의 끝을 다시 써보려 해,한동근,발라드,2014.09.30,로엔 엔터테인먼트,8.8,1
2017,2,도깨비 OST Part 13,마마무(Mamamoo),드라마음악,2017.01.15,(주)지니뮤직,8.4,2
2017,2,도깨비 OST Part 12,로이킴,드라마음악,2017.01.14,(주)지니뮤직,6.9,2
2017,2,YOU NEVER WALK ALONE,방탄소년단,랩/힙합,2017.02.13,(주)아이리버,8.8,18
2017,2,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,2,비가와,소유(SOYOU),발라드,2017.02.14,로엔 엔터테인먼트,7.9,1
2017,2,2집 WINGS,방탄소년단,랩/힙합,2016.10.10,(주)아이리버,8.8,15
2017,2,MADE,BIGBANG,랩/힙합,2016.12.13,YG PLUS,8.6,11
2017,2,2집 OO,Zion.T,알앤비/어반,2017.02.01,(주)지니뮤직,7.1,8
2017,2,무한도전 위대한 유산,무한도전,랩/힙합,2016.12.31,로엔 엔터테인먼트,8,6
2017,2,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,2,Yes? No?,수지(SUZY),알앤비/어반,2017.01.24,(주)아이리버,7.7,6
2017,2,도깨비 OST Part 3,Lasse Lindh,드라마음악,2016.12.11,(주)지니뮤직,9,1
2017,2,TWICEcoaster : LANE 2,TWICE(트와이스),댄스,2017.02.20,(주)아이리버,7.6,13
2017,2,TWICEcoaster : LANE 1,TWICE(트와이스),댄스,2016.10.24,(주)아이리버,7.7,7
2017,2,도깨비 OST Part 10,어반 자카파(Urban Zakapa),드라마음악,2017.01.08,(주)지니뮤직,7.6,2
2017,2,2집 OO,Zion.T,알앤비/어반,2017.02.01,(주)지니뮤직,7.1,8
2017,2,YOU NEVER WALK ALONE,방탄소년단,랩/힙합,2017.02.13,(주)아이리버,8.8,18
2017,2,YESTERDAY,블락비(Block B),댄스,2017.02.06,(주)지니뮤직,8.3,1
2017,2,우리집을 못 찾겠군요,매드 클라운(Mad Clown),"인디뮤직,  랩/힙합",2017.02.03,로엔 엔터테인먼트,7.7,1
2017,2,도깨비 OST Part 7,소유(SOYOU),드라마음악,2016.12.31,(주)지니뮤직,7.8,2
2017,2,도깨비 OST Part 1,찬열,드라마음악,2016.12.03,(주)지니뮤직,7.4,2
2017,2,2집 OO,Zion.T,알앤비/어반,2017.02.01,(주)지니뮤직,7.1,8
2017,2,도깨비 OST Part 9,에일리,드라마음악,2017.01.07,(주)지니뮤직,8.6,2
2017,3,도깨비 OST Part 12,로이킴,드라마음악,2017.01.14,(주)지니뮤직,6.9,2
2017,3,CAN YOU FEEL IT?,하이라이트(Highlight),댄스,2017.03.20,로엔 엔터테인먼트,9.2,6
2017,3,8집 pathos,M.C THE MAX,발라드,2016.01.28,(주)뮤직앤뉴,8.6,10
2017,3,Mixxxture Project Vol. 1,다이나믹 듀오(Dynamic Duo),랩/힙합,2017.01.24,로엔 엔터테인먼트,8.7,1
2017,3,목요일 밤,어반 자카파(Urban Zakapa),알앤비/어반,2016.08.25,로엔 엔터테인먼트,7.4,1
2017,3,Jelly box 꽃길 [Prod. By 지코(ZICO)] 세정,세정(구구단),발라드,2016.11.23,(주)지니뮤직,8.3,2
2017,3,My Voice - The 1st Album,태연 (TAEYEON),발라드,2017.02.28,(주)아이리버,8.8,13
2017,3,My Voice - The 1st Album,태연 (TAEYEON),발라드,2017.02.28,(주)아이리버,8.8,13
2017,3,Red Pill Blues (Deluxe Edition),Maroon 5,"팝,  얼터너티브 락",2017.11.03,유니버설뮤직,6.9,21
2017,3,13집 I'M,임창정,발라드,2016.09.06,(주)인터파크,9,14
2017,3,130 mood : TRBL,DEAN,알앤비/어반,2016.03.24,Universal,9.4,7
2017,3,도깨비 OST Part 14,헤이즈(Heize),드라마음악,2017.01.21,(주)지니뮤직,3,2
2017,3,돌아오지마,헤이즈(Heize),랩/힙합,2016.04.14,(주)지니뮤직,7.9,2
2017,3,miss me?,아이오아이 (I.O.I),댄스,2016.10.17,(주)지니뮤직,7.9,5
2017,3,또 오해영 OST Part 5,정승환,드라마음악,2016.05.31,(주)지니뮤직,8.5,2
2017,3,My Voice - The 1st Album,태연 (TAEYEON),발라드,2017.02.28,(주)아이리버,8.8,13
2017,3,11:11,태연 (TAEYEON),발라드,2016.11.01,(주)아이리버,8.1,2
2017,3,도깨비 OST Part 2,10cm,드라마음악,2016.12.10,(주)지니뮤직,8,2
2017,3,"유후 (You, Who?)",에릭남(Eric Nam),발라드,2017.03.09,(주)지니뮤직,7.7,2
2017,3,스틸,어반 자카파(Urban Zakapa),발라드,2016.05.27,로엔 엔터테인먼트,8,5
2017,3,봄 사랑 벚꽃 말고,하이포(HIGH4),발라드,2014.04.08,로엔 엔터테인먼트,8.2,2
2017,3,MADE,BIGBANG,랩/힙합,2016.12.13,YG PLUS,8.6,11
2017,3,밤편지,아이유(IU),발라드,2017.03.24,로엔 엔터테인먼트,8.6,1
2017,3,AOA 1st Album ANGEL'S KNOCK,AOA,댄스,2017.01.02,로엔엔터테인먼트,6.7,10
2017,3,도깨비 OST Part 3,Lasse Lindh,드라마음악,2016.12.11,(주)지니뮤직,9,1
2017,3,그리워요 (Girlfriend),헨리 (HENRY),알앤비/어반,2017.03.18,(주)아이리버,8.9,1
2017,3,Nine Track Mind (Deluxe),Charlie Puth,팝,2016.11.11,워너뮤직코리아,9.3,16
2017,3,EMPTY,정키(JungKey),발라드,2017.03.08,로엔 엔터테인먼트,9.9,2
2017,3,ACT ONE (The Complete Collection),Marian Hill,일렉트로니카,2017.04.12,유니버설뮤직,8.4,24
2017,3,Boys and Girls Music Vol. 1,샘김,알앤비/어반,2017.01.25,로엔 엔터테인먼트,8.6,2
2017,3,From. 우주소녀,우주소녀,댄스,2017.01.04,로엔 엔터테인먼트,8.2,6
2017,3,CAN YOU FEEL IT?,하이라이트(Highlight),댄스,2017.03.20,로엔 엔터테인먼트,9.2,6
2017,3,Purpose,Justin Bieber,팝,2015.11.14,유니버설뮤직,8.8,18
2017,3,기다리지 말아요,박원,발라드,2017.02.28,로엔 엔터테인먼트,7.6,1
2017,3,7집 I am A Dreamer,박효신,발라드,2016.10.03,로엔엔터테인먼트,9,12
2017,3,좋아해(bye),치즈(CHEEZE),발라드,2017.02.20,로엔 엔터테인먼트,8.2,2
2017,3,In The Lonely Hour,Sam Smith,팝,2014.05.27,유니버설뮤직,9.3,10
2017,3,목소리,정승환,발라드,2016.11.29,지니뮤직,8.7,6
2017,3,Memories...Do Not Open,The Chainsmokers,댄스,2017.04.07,소니뮤직,8.3,12
2017,3,저 별,헤이즈(Heize),알앤비/어반,2016.12.05,(주)지니뮤직,7.6,1
2017,3,Collage (EP),The Chainsmokers,일렉트로니카,2016.11.05,소니뮤직,7.5,5
2017,3,My Voice - The 1st Album,태연 (TAEYEON),발라드,2017.02.28,(주)아이리버,8.8,13
2017,3,Feel'eM,비투비,댄스,2017.03.06,로엔엔터테인먼트,9.1,5
2017,3,무한도전 위대한 유산,무한도전,랩/힙합,2016.12.31,로엔 엔터테인먼트,8,6
2017,3,Yes? No?,수지(SUZY),알앤비/어반,2017.01.24,(주)아이리버,7.7,6
2017,3,이 소설의 끝을 다시 써보려 해,한동근,발라드,2014.09.30,로엔 엔터테인먼트,8.8,1
2017,3,PAGE TWO,TWICE(트와이스),댄스,2016.04.25,(주)아이리버,8.1,7
2017,3,2집 OO,Zion.T,알앤비/어반,2017.02.01,(주)지니뮤직,7.1,8
2017,3,4집 EVERYTHING YOU WANTED,박재범,알앤비/어반,2016.10.20,(주)지니뮤직,8.9,19
2017,3,Feel'eM,비투비,댄스,2017.03.06,로엔엔터테인먼트,9.1,5
2017,3,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,3,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,3,Feel'eM,비투비,댄스,2017.03.06,로엔엔터테인먼트,9.1,5
2017,3,YOU NEVER WALK ALONE,방탄소년단,랩/힙합,2017.02.13,(주)아이리버,8.8,18
2017,3,Russian Roulette - The 3rd Mini Album,Red Velvet (레드벨벳),댄스,2016.09.07,(주)아이리버,8.4,7
2017,3,도깨비 OST Part 10,어반 자카파(Urban Zakapa),드라마음악,2017.01.08,(주)지니뮤직,7.6,2
2017,3,÷ (Deluxe),Ed Sheeran,팝,2017.03.03,워너뮤직코리아,8.5,16
2017,3,도깨비 OST Part 8,정준일,드라마음악,2017.01.01,(주)지니뮤직,7.4,2
2017,3,My Voice - The 1st Album,태연 (TAEYEON),발라드,2017.02.28,(주)아이리버,8.8,13
2017,3,NEW MEN,비투비,댄스,2016.11.07,Universal,9.2,7
2017,3,도깨비 OST Part 6,샘김,드라마음악,2016.12.25,(주)지니뮤직,8.9,2
2017,3,Full Album RED PLANET,볼빨간사춘기,포크,2016.08.29,(주)엔에이치엔벅스,8.8,11
2017,3,우리집을 못 찾겠군요,매드 클라운(Mad Clown),"인디뮤직,  랩/힙합",2017.02.03,로엔 엔터테인먼트,7.7,1
2017,3,Lovelyz 2nd Album [R U Ready?],러블리즈,댄스,2017.02.26,(주)지니뮤직,8.7,11
2017,3,TWICEcoaster : LANE 1,TWICE(트와이스),댄스,2016.10.24,(주)아이리버,7.7,7
2017,3,2집 OO,Zion.T,알앤비/어반,2017.02.01,(주)지니뮤직,7.1,8
2017,3,YESTERDAY,블락비(Block B),댄스,2017.02.06,(주)지니뮤직,8.3,1
2017,3,신현희와김루트,신현희와김루트,"포크,  인디뮤직",2015.02.26,Mirrorball Music,8.1,6
2017,3,limbo,DEAN,알앤비/어반,2017.02.17,Universal,8.8,2
2017,3,1집 버스커 버스커,버스커 버스커,락,2012.03.29,(주)지니뮤직,9.3,11
