book_name,book_writer,book_date,book_price,book_cover,book_page,book_size,book_weight,book_category,book_publisher,sales_point
"나의 가족, 사랑하나요?",전이수,2018-08-14,"11,700",양장본,108,185*245mm,451,어린이,주니어김영사,500
홀리데이 로맨스,찰스 디킨스,2018-08-15,"11,400",NA,122,130*188mm,159,소설/시/희곡,B612,10
바이올린과 순례자,마틴 슐레스케,2018-08-15,"13,500",NA,336,145*215mm,437,에세이,니케북스,160
미치도록 맞히고 싶어! SNS 맞춤법,"이정은,?김나영",2018-08-16,"10,800",NA,180,148*210mm,234,인문학,다봄,"2,180"
트럼프 공화국,데이비드 프럼,2018-08-25,"17,820",NA,376,152*224mm,714,사회과학,지식의숲(넥서스),10
나는 나대로 혼자서 간다,와카타케 치사코,2018-08-27,"12,420",NA,168,127*188mm,218,소설/시/희곡,토마토출판사,210
젊어지는 두뇌 습관,존 메디나,2018-08-17,"16,200",반양장본,364,152*225mm,692,과학,프런티어,360
유대인 생각 사전,김영환,2018-08-17,"12,420",반양장본,312,138*210mm,335,자기계발,행북,"1,180"
미스터리 클락,기시 유스케,2018-08-27,"13,500",NA,508,128*188mm,401,소설/시/희곡,창해,"1,480"
스페셜솔져 생존탐험대 3,유대영,2018-08-17,"8,820",반양장본,160,188*257mm,304,어린이,겜툰,"2,210"
심장은 마지막 순간에,마거릿 애트우드,2018-08-20,"14,400",반양장본,596,140*210mm,665,소설/시/희곡,위즈덤하우스,"1,020"
사자소학 가족과 연인과 친구와 함께하는 쓰기책,북드라망 편집부,2018-08-22,"6,300",NA,328,180*252mm,295,인문학,북드라망,210
낭송 사자소학,주희,2018-08-22,"9,450",반양장본,128,145*210mm,166,인문학,북드라망,"5,110"
심야의 철학도서관,"토린 얼터,?로버트 J. 하월",2018-08-14,"12,600",반양장본,220,130*210mm,286,인문학,글항아리,460
모던아트,"한스 베르너 홀츠 바르트,?라슬로 타셴",2018-08-15,"25,200",NA,696,140*195mm,905,예술/대중문화,마로니에북스,470
빈센트 반 고흐,라이너 메츠거,2018-08-15,"25,200",양장본,744,140*195mm,1042,예술/대중문화,마로니에북스,310
9월의 사랑과 만날 때까지,마쓰오 유미,2018-08-30,"12,420",반양장본,296,128*188mm,296,소설/시/희곡,㈜소미미디어,730
20세기 사진 예술,쾰른 루트비히 미술관,2018-08-15,"25,200",NA,760,140*195mm,988,예술/대중문화,마로니에북스,600
이제 고양이와 살기 이전의 나로 돌아갈 수 없다,가쿠타 미츠요,2018-08-21,"12,420",반양장본,232,128*188mm,325,에세이,위즈덤하우스,"2,630"
생각이 만든 감옥,맨리 P. 홀,2018-08-20,"10,080",반양장본,208,128*188mm,208,인문학,마름돌,"1,350"
레베카 (초판 출간 80주년 기념판),대프니 듀 모리에,2018-08-15,"12,600",양장본,600,135*195mm,690,소설/시/희곡,현대문학,"4,550"
물리학자의 은밀한 밤 생활,라인하르트 렘포트,2018-08-20,"12,600",반양장본,255,145*210mm,410,과학,더숲,260
비폭력대화와 교육,마셜 B. 로젠버그,2018-08-20,"7,200",반양장본,96,148*210mm,125,인문학,한국NVC센터,510
[세트] 역사의 역사 + 시민커피 드립백 세트,유시민,2018-06-25,"22,500",반양장본,340,148*210mm,583,역사,돌베개,210
비교할수록 쉬워지는 단위,클라이브 기퍼드,2018-08-14,"17,100",양장본,96,250*297mm,326,어린이,부즈펌어린이,580
여백을 번역하라,조영학,2018-08-20,"13,500",반양장본,286,152*223mm,426,인문학,메디치미디어,"1,830"
베이비 스마트 : 폭신폭신 사운드 베어,애플비북스 편집부,2018-07-15,"11,760",NA,16,303*245mm,43,유아,애플비,60
오늘부터 나에게 친절하기로 했다,크리스토퍼 거머,2018-08-27,"14,220",반양장본,388,148*225mm,504,인문학,더퀘스트,410
우리는 왜 죽음을 두려워할 필요 없는가,정현채,2018-08-24,"14,400",NA,380,153*210mm,722,인문학,비아북,500
쓸데 있는 신비한 잡학 사전,레이 해밀턴,2018-08-20,"12,780",NA,384,128*188mm,384,인문학,도도(도서출판),860
21세기를 위한 21가지 제언,유발 하라리,2018-09-03,"19,800",반양장본,560,147*215mm,728,인문학,김영사,"15,230"
노란 카약,니나 레이든,2018-08-25,"13,500",양장본,40,190*265mm,389,유아,소원나무,360
"존재의 세 가지 거짓말 (리커버 특별판, 양장)",아고타 크리스토프,2018-08-01,"15,750",양장본,616,136*205mm,824,소설/시/희곡,까치,"24,370"
국새와 어보,성인근,2018-07-25,"19,800",반양장본,304,152*216mm,535,역사,현암사,110
문학을 부수는 문학들,"권보드래,?심진경,?이혜령,?이진경,?김미정,?류진희,?김은하,?허윤,?조서연,?오혜진,?장영은,?강지윤,?정미지",2018-08-13,"14,400",반양장본,428,152*225mm,550,소설/시/희곡,민음사,"5,780"
자기 역사를 쓴다는 것,다치바나 다카시,2018-08-14,"16,020",반양장본,309,150*220mm,605,인문학,바다출판사,"4,500"
어쩌다 우리는 환자가 되었나,피터 콘래드,2018-09-01,"16,200",반양장본,384,145*225mm,499,사회과학,후마니타스,330
진실사회,줄리언 바지니,2018-08-16,"9,000",반양장본,128,125*200mm,162,인문학,예문아카이브,450
최고의 리더는 어떻게 변화를 이끄는가,기무라 나오노리,2018-08-16,"13,500",반양장본,220,148*215mm,415,경제경영,다산북스,430
어쩐지 더 피곤한 것 같더라니,나카네 하지메,2018-08-20,"10,800",반양장본,180,128*188mm,250,건강/취미/레저,포레스트북스,510
다른시선 2,엠마,2018-08-17,"15,300",반양장본,115,220*260mm,551,사회과학,우리나비,80
경성에서 보낸 하루,김향금,2018-08-14,"14,220",반양장본,248,170*240mm,564,청소년,라임,380
최소한의 국제 이슈,"양성모,?연유진,?이수민",2018-08-21,"12,420",반양장본,248,128*188mm,311,사회과학,꿈결,"1,340"
조선에 반反하다,조윤민,2018-08-13,"15,300",반양장본,400,145*217mm,520,역사,글항아리,720
생태로 읽는 독도 이야기,국립생태원,2018-08-15,"10,800",NA,212,170*240mm,403,과학,국립생태원,60
만만한 철학,"미하엘 쾰마이어,?콘라드 파울 리스만",2018-08-16,"11,700",반양장본,216,150*210mm,322,인문학,재승출판,260
1984,조지 오웰,2018-08-20,"10,080",반양장본,428,135*210mm,556,소설/시/희곡,더디,160
금융의 모험,미히르 데사이,2018-08-20,"16,200",NA,364,148*224mm,692,경제경영,부키,"2,490"
요시다 쇼인 시대를 반역하다,김세진,2018-08-15,"13,500",NA,232,133*199mm,302,역사,호밀밭,"6,470"
코믹 메이플 스토리 오프라인 RPG 97,송도수,2018-08-20,"8,010",반양장본,176,188*257mm,334,어린이,서울문화사,"3,530"
"안녕, 나는 강릉이야",이나영,2018-08-15,"10,800",양장본,46,203*254mm,415,어린이,상상력놀이터,60
맨발로 축구를 한 날,조시온,2018-08-17,"11,700",양장본,52,190*254mm,382,어린이,찰리북,710
기적의 장 스트레칭,오노 사키,2018-08-25,"11,700",반양장본,224,140*205mm,345,건강/취미/레저,북라이프,"1,890"
실리콘밸리를 그리다,"김혜진,?박정리,?송창걸,?유호현,?이종호",2018-08-20,"14,400",반양장본,324,150*225mm,568,경제경영,스마트북스,"1,230"
혼자 놀고 싶은 날 다른그림찾기,김용오,2018-08-10,"13,320",반양장본,128,228*300mm,640,건강/취미/레저,조선앤북,80
플라스틱 프리,"김성원,?박복선,?최소연,?전정일,?고금숙,?강신호,?화경,?박푸른들,?남예진,?노리,?공석진,?리조,?에리카",2018-08-13,"9,500",NA,116,182*257mm,220,사회과학,교육공동체벗,510
가족과 통치,조은주,2018-08-16,"16,200",반양장본,376,153*224mm,714,사회과학,창비,"1,160"
한밤중 시골에서,김민정,2018-08-10,"9,000",반양장본,132,153*220mm,270,어린이,스콜라(위즈덤하우스),110
잠시만 기대겠습니다,와다 히데키,2018-09-05,"12,150",반양장본,240,140*203mm,370,자기계발,청림출판,110
리버 보이 (100쇄 기념 특별판),팀 보울러,2018-08-17,"12,150",NA,284,127*188mm,369,청소년,놀(다산북스),800
빨간 열매,이지은,2018-08-21,"11,250",양장본,64,190*300mm,474,유아,사계절,260
킹스메이커 3,"하가,?강지영",2018-08-14,"11,700",NA,312,150*210mm,406,만화,재담북스,"6,790"
킹스메이커 2,"하가,?강지영",2018-08-14,"11,700",NA,312,150*210mm,406,만화,재담북스,"6,740"
킹스메이커 1,"하가,?강지영",2018-08-14,"11,700",NA,316,150*210mm,411,만화,재담북스,"6,980"
"결정, 흔들리지 않고 마음먹은 대로",애니 듀크,2018-08-08,"14,400",NA,360,152*225mm,684,자기계발,에이트포인트(EightPoint),580
루키들이 온다,김현정,2018-08-22,"14,220",NA,256,148*210mm,333,자기계발,라곰,110
"토의토론수업, 배움을 디자인하다",김경훈,2018-08-26,"16,200",반양장본,272,190*260mm,517,사회과학,행복한미래,580
오늘의 교육 2018.7.8월호,교육공동체벗 편집부,2018-07-01,"14,250",반양장본,248,152*223mm,347,사회과학,교육공동체벗,210
인간은 양파다,오가와 히토시,2018-08-17,"12,420",반양장본,191,140*204mm,317,인문학,홍익출판사,110
"장준하, 묻지 못한 진실",고상만,2018-08-13,"13,500",반양장본,356,153*215mm,676,사회과학,돌베개,180
당신이 허락한다면 나는 이 말 하고 싶어요,김제동,2018-09-05,"14,400",NA,400,150*215mm,520,에세이,나무의마음,"6,540"
네모,맥 바넷,2018-08-15,"13,500",양장본,56,229*229mm,397,유아,시공주니어,"2,180"
문어 목욕탕,최민지,2018-08-24,"11,700",양장본,52,215*265mm,410,유아,노란상상,"1,070"
인간 실격,다자이 오사무,2018-08-16,"7,200",반양장본,172,127*196mm,245,소설/시/희곡,새움,700
내성적인 여행자,정여울,2018-08-10,"15,120",반양장본,392,140*205mm,580,에세이,해냄,"1,940"
아플리케가 있는 파우치와 가방 만들기,양은주,2018-08-16,"18,000",반양장본,300,190*250mm,795,건강/취미/레저,팜파스,510
실수의 책,스킵 프리처드,2018-08-17,"13,500",양장본,336,110*180mm,405,자기계발,쌤앤파커스,230
어린이를 위한 미술관 안내서,김희경,2018-08-17,"11,700",양장본,48,238*260mm,400,어린이,논장,60
해골이 딸꾹 딸꾹,마저리 카일러,2018-08-10,"10,800",양장본,32,253*253mm,440,유아,길벗스쿨,260
귀신 은강이 재판을 청하오,신주선,2018-08-10,"9,450",반양장본,120,182*220mm,335,어린이,낮은산,320
같이 걸어도 나 혼자,데라치 하루나,2018-08-17,"12,600",NA,264,128*188mm,264,소설/시/희곡,다산북스,660
나도 해볼래!,로리 라이트,2018-08-24,"10,800",양장본,28,225*235mm,308,유아,갈락시아스,180
사양,다자이 오사무,2018-08-16,"8,100",반양장본,216,127*196mm,300,소설/시/희곡,새움,350
수상한 나무들이 보낸 편지,베르나데트 푸르키에,2018-08-31,"11,700",양장본,36,232*310mm,422,어린이,바다는기다란섬,160
투자자가 된 인문학도,조현철,2018-07-23,"17,100",반양장본,424,152*225mm,806,경제경영,지식노마드,"1,650"
평화의 소녀상을 그리다,김세진,2018-08-14,"10,800",반양장본,168,130*185mm,253,사회과학,보리,370
위험한 미래,김영익,2018-08-21,"14,850",양장본,252,145*210mm,353,경제경영,한즈미디어(한스미디어),400
미루는 습관을 이기는 작은 책,페트르 루드비크,2018-08-24,"14,400",반양장본,296,170*170mm,455,자기계발,비즈니스북스,"1,270"
감옥으로부터의 사색 (30주년 기념 특별한정판),신영복,2018-08-15,"22,500",양장본,488,153*225mm,732,에세이,돌베개,"20,450"
미술관에서 만난 전쟁사,이현우,2018-08-17,"15,120",반양장본,328,150*210mm,580,역사,어바웃어북,360
승자의 경영병법,스즈키 히로키,2018-08-15,"16,200",반양장본,332,148*210mm,525,경제경영,중앙books(중앙북스),210
계절은 너에게 배웠어,윤종신,2018-08-23,"12,420",NA,268,130*210mm,348,에세이,문학동네,"25,000"
하루 15분 책읽어주기의 힘,짐 트렐리즈,2018-08-20,"13,500",반양장본,296,152*225mm,516,좋은부모,북라인,410
어느 독일인의 삶,브룬힐데 폼젤,2018-08-15,"13,500",양장본,328,120*188mm,412,역사,열린책들,"2,050"
부의 본능,브라운스톤,2018-08-14,"12,420",반양장본,248,152*224mm,473,경제경영,토트,580
"엄마, 나 그때 너무 힘들었어",케이티 해프너,2018-08-24,"13,320",반양장본,360,140*210mm,402,에세이,행성B(행성비),460
서울의 목욕탕,6699press 편집부,2018-08-06,"29,000",NA,272,171*230mm,517,예술/대중문화,6699press,740
교실 속 비주얼씽킹 : 안전 카드 + 진로 카드,비주얼러닝 연구소,2018-08-14,"17,100",NA,128,145*100mm,166,사회과학,맘에드림,10
아기 낳는 만화,쇼쇼,2018-08-24,"12,420",반양장본,296,130*210mm,445,만화,위즈덤하우스,"2,420"
생명의 정원,메리 레이놀즈,2018-07-15,"26,820",양장본,408,152*195mm,595,과학,목수책방,"1,300"
읽거나 말거나,비스와바 쉼보르스카,2018-08-11,"18,000",반양장본,460,140*220mm,615,에세이,봄날의책,"3,650"
이보은의 한끼,이보은,2018-08-20,"14,220",NA,304,185*255mm,578,가정/요리/뷰티,크레파스북,870
페미니즘의 방아쇠를 당기다,김진희,2018-08-22,"16,110",반양장본,332,152*224mm,501,사회과학,푸른역사,460
팔딱팔딱 목욕탕,전준후,2018-08-13,"11,700",양장본,48,230*230mm,360,유아,고래뱃속(아지북스),"1,360"
장식과 범죄,아돌프 로스,2018-08-10,"22,500",NA,352,152*220mm,669,예술/대중문화,미디어버스,"1,490"
이쁘게 말하는 당신이 좋다,임영주,2018-08-24,"13,500",NA,256,143*210mm,333,자기계발,메이트북스,"1,190"
숭고함은 나를 들여다보는 거야,김숨,2018-08-14,"10,800",양장본,224,104*182mm,287,소설/시/희곡,현대문학,"2,570"
군인이 천사가 되기를 바란 적 있는가,김숨,2018-08-14,"10,800",양장본,168,104*182mm,234,소설/시/희곡,현대문학,"2,480"
수납 공부,"줄리 칼슨,?마고 거럴닉",2018-08-30,"12,420",반양장본,216,153*220mm,395,가정/요리/뷰티,윌북,"2,040"
잠이 오지 않는 밤,홍그림,2018-08-13,"11,700",양장본,52,235*215mm,366,유아,창비,130
친일과 망각,"김용진,?박중석,?심인보",2018-08-15,"13,500",반양장본,364,152*225mm,692,사회과학,다람,430
독도의 사계절 식물 리포트,"김철환,?최승세,?김영식,?이승훈,?김지현,?이상철,?장인수",2018-08-15,"18,000",반양장본,280,152*224mm,541,과학,지오북,10
잠들 때 들려주는 5분 구연동화 80가지 이야기,세상모든책 편집부,2018-08-10,"14,220",반양장본,360,185*235mm,815,유아,세상모든책,160
숲에서 1년,토르비에른 에켈룬,2018-08-20,"12,600",반양장본,272,140*213mm,365,에세이,심플라이프,700
기적의 세마디 중국어 1 : 어서 일어나,박현영,2018-08-24,"12,600",NA,58,210*220mm,157,유아,길벗스쿨,10
중국 신노동자의 미래,려도,2018-08-20,"18,000",NA,606,145*205mm,788,사회과학,나름북스,250
기적의 세마디 영어 1 : 어서 일어나,박현영,2018-07-31,"12,600",양장본,58,210*220mm,400,유아,길벗스쿨,160
숫자 갖고 놀고 있네,폴 록하트,2018-08-21,"13,050",반양장본,304,147*212mm,431,과학,생각의서재,150
나 책이야,정하섭,2018-08-17,"11,700",양장본,40,220*220mm,320,유아,우주나무,700
여자도 달릴 수 있어!,아네트 베이 피멘텔,2018-08-08,"10,800",양장본,40,228*273mm,436,어린이,청어람아이(청어람미디어),180
나의 문화유산답사기 : 산사 순례,유홍준,2018-08-24,"16,200",반양장본,400,152*223mm,560,인문학,창비,"35,970"
깐깐한 화장품 사용설명서,리타 슈티엔스,2018-08-24,"25,200",반양장본,548,163*223mm,908,가정/요리/뷰티,전나무숲,250
근대서지 2018 제17호,근대서지학회,2018-06-30,"38,700",반양장본,682,152*223mm,967,인문학,소명출판,170
나의 우울증을 떠나보내며,대프니 머킨,2018-08-20,"15,300",반양장본,346,140*210mm,441,인문학,뮤진트리,"1,210"
"에디톨로지 (스페셜 에디션, 양장)",김정운,2018-08-14,"22,500",양장본,372,148*210mm,600,인문학,21세기북스,850
예민함 내려놓기,오카다 다카시,2018-08-16,"12,420",반양장본,232,135*205mm,324,인문학,어크로스,"2,640"
세상에서 제일 재밌는 종이접기,네모아저씨 이원표,2018-08-24,"12,600",반양장본,252,220*240mm,749,좋은부모,슬로래빗,"3,550"
서울이 아니어도 오를 곳은 오른다,김학렬,2018-08-20,"16,200",반양장본,420,152*215mm,546,경제경영,알에이치코리아(RHK),"42,700"
최고의 선택,김형철,2018-08-10,"13,500",양장본,256,140*190mm,465,경제경영,리더스북,"1,470"
세화씨의 마음주머니,김가화,2018-07-20,"11,700",양장본,44,207*207mm,293,유아,디얼아이,560
노베첸토,알레산드로 바리코,2018-08-10,"8,820",양장본,92,126*193mm,129,소설/시/희곡,비채,560
N. E. W.,김사과,2018-08-08,"11,700",반양장본,288,128*188mm,310,소설/시/희곡,문학과지성사,"4,890"
마르탱 게르의 귀향,"장 클로드 카리에르,?다니엘 비뉴",2018-07-27,"10,800",반양장본,252,124*188mm,263,청소년,문학과지성사,420
우린 다르게 살기로 했다,조현,2018-08-17,"18,000",반양장본,432,150*210mm,605,사회과학,휴(休),"3,250"
탁월한 사유의 시선,최진석,2018-08-13,"16,920",양장본,284,148*210mm,500,인문학,21세기북스,"2,100"
무심한 바다가 좋아서,임수민,2018-08-10,"13,320",반양장본,424,135*185mm,480,에세이,미메시스,"1,260"
법복 입은 악마들,강경훈,2018-08-14,"10,800",반양장본,224,148*210mm,317,사회과학,민중의소리,"1,190"
다다다 다른 별 학교,윤진현,2018-08-13,"10,800",양장본,40,210*280mm,400,어린이,천개의바람,510
시스터 아웃사이더,오드리 로드,2018-08-13,"16,200",반양장본,368,140*210mm,487,사회과학,후마니타스,"6,740"
우리 아이의 행복을 위한 성교육,김영화,2018-08-20,"13,500",반양장본,304,140*208mm,455,좋은부모,메이트북스,110
501 요가 아나토미 프리미엄,Nancy J. Hajeski,2018-08-10,"22,500",양장본,192,210*260mm,725,건강/취미/레저,DH미디어,430
진짜 나로서기,김문재,2018-08-15,"12,420",반양장본,264,152*225mm,455,자기계발,포북(for book),200
책으로 날다,"김규동,?김도유,?김두정,?김정은,?김종무,?문지영,?박선희,?박혜정,?박혜진,?박효경,?백미,?성유진,?우선영,?이소연,?이은희,?이정선,?임정아,?임채선,?지학운,?한지선",2018-09-01,"13,500",NA,244,140*210mm,317,인문학,바이북스,380
우리가 몰랐던 도시,나다나엘 존슨,2018-08-10,"12,420",NA,292,145*205mm,380,과학,눌와,230
늑대의 지혜,엘리 H. 라딩어,2018-08-10,"15,300",반양장본,292,135*215mm,498,과학,생각의힘,650
내 마음이 손글씨가 된다면,김진희(온초람),2018-08-16,"12,150",양장본,192,133*187mm,344,예술/대중문화,나무수,"1,820"
실은 무언가를 하고 있는 고양이처럼,로만 무라도프,2018-08-17,"11,700",반양장본,224,128*198mm,315,인문학,미래의창,140
궁금해서 밤새 읽는 유럽사,"김상엽,?김소정",2018-08-10,"16,200",반양장본,392,152*224mm,667,역사,청아출판사,160
누구나 쉽게 성공하는 홈베이킹,에모조와,2018-08-10,"13,320",반양장본,132,182*257mm,445,가정/요리/뷰티,김영사,780
고독한 늑대의 피,유즈키 유코,2018-08-20,"13,320",반양장본,452,128*188mm,436,소설/시/희곡,작가정신,"1,370"
금리는 주식시장의 미래를 알고 있다,정웅지,2018-09-03,"13,500",NA,244,153*225mm,464,경제경영,메이트북스,360
밤을 새워 준비해 혼을 다해 말했더니 그래서 하고 싶은 말이 뭔데? 라고 들었다...,다케우치 가오루,2018-08-22,"12,150",반양장본,232,128*188mm,258,자기계발,청림출판,620
보도블록은 죄가 없다,박대근,2018-08-15,"14,400",반양장본,266,150*195mm,346,과학,픽셀하우스(Pixelhouse),840
학교폭력으로부터 학교를 구하라,"왕건환,?김성환,?박재원,?이상우,?정유진",2018-08-10,"13,500",반양장본,222,148*205mm,334,사회과학,에듀니티,890
정원사 챈스의 외출,저지 코진스키,2018-09-20,"10,800",반양장본,192,128*188mm,245,소설/시/희곡,"미래인(미래M&B,미래엠앤비)",130
스워브,닉 러브그로브,2018-08-17,"16,200",반양장본,452,152*225mm,859,자기계발,마일스톤,"1,060"
[세트] 수학이 필요한 순간 + 배우고 생각하고 연결하고 - 전2권,"김민형,?박형주",2018-08-03,"26,820",NA,596,130*197mm,829,과학,인플루엔셜(주),"1,640"
천국의숲 이은혜 작가의 Special 성장카드,이은혜,2018-08-10,"23,100",NA,40,130*170mm,368,좋은부모,톨,210
디어 리더,임유진,2018-08-10,"10,800",NA,224,128*188mm,224,인문학,엑스북스(xbooks),700
화가는 무엇으로 그리는가,이소영,2018-07-27,"15,750",반양장본,304,145*200mm,467,예술/대중문화,모요사,"1,020"
이탈리아 가정식,이정화,2018-08-13,"14,850",반양장본,304,180*225mm,664,가정/요리/뷰티,중앙books(중앙북스),"1,040"
초등학생을 위한 개념 과학 150,정윤선,2018-08-30,"10,800",반양장본,184,210*275mm,600,어린이,바이킹,"1,260"
마흔 전에 챙겨먹는 채소 요리,마쓰무라 마유코,2018-08-27,"13,320",반양장본,240,188*257mm,615,가정/요리/뷰티,보누스,"1,570"
이지성의 꿈꾸는 다락방 2,이지성,2018-08-07,"13,500",양장본,256,148*210mm,485,자기계발,차이정원,"1,040"
희망을 여행하라,"이매진피스,?임영신,?이혜영",2018-08-08,"18,900",반양장본,492,172*245mm,640,사회과학,소나무,160
알고 싶은 마음에 단숨에 읽는 철학 대화집,"신창호,?남정미",2018-08-20,"13,320",반양장본,308,152*210mm,440,인문학,나무발전소,"1,240"
자연의 비너스,피에르 루이 모로 드 모페르튀,2018-08-17,"10,800",반양장본,238,130*190mm,275,인문학,비(도서출판b),260
헌법의 현장에서,김선수,2018-07-31,"16,920",반양장본,392,140*210mm,510,사회과학,오월의봄,730
릿터 Littor 2018.8.9,릿터 편집부,2018-08-06,"9,000",반양장본,228,178*258mm,437,소설/시/희곡,민음사,"9,010"
우리가 몰랐던 냉기제거의 놀라운 비밀,신도 요시하루,2018-08-25,"13,500",반양장본,324,152*223mm,573,건강/취미/레저,중앙생활사,230
좀비고등학교 코믹스 8,배아이,2018-08-15,"8,820",반양장본,160,188*257mm,304,어린이,겜툰,"70,140"
인간의 모든 성격,최현석,2018-08-20,"14,400",반양장본,312,140*210mm,471,인문학,서해문집,"1,130"
회색 노트,로제 마르탱 뒤 가르,2018-08-03,"7,920",반양장본,164,113*188mm,159,소설/시/희곡,민음사,820
코스모스 오디세이,"호르헤 챔,?대니얼 화이트슨",2018-08-10,"14,400",반양장본,416,152*224mm,637,과학,사회평론,530
5분 얼굴 스케치 세트 - 전2권,김충원,2018-08-14,"17,100",반양장본,416,112*150mm,291,예술/대중문화,진선아트북,220
"회사 다니면서 글쓰기, 잘 사용하는 법을 알려드립니다","유지은,?이종서",2018-08-27,"14,400",반양장본,372,150*220mm,649,자기계발,나비의활주로,320
그대는 할말을 어디에 두고 왔는가,허수경,2018-08-08,"14,400",양장본,320,130*195mm,378,에세이,난다,"7,950"
최진기의 경제상식 오늘부터 1일,최진기,2018-08-09,"14,850",반양장본,392,170*240mm,696,경제경영,스마트북스,"2,470"
25년간의 수요일 (리커버 특별판),윤미향,2018-08-14,"13,500",반양장본,312,135*205mm,593,사회과학,사이행성,"22,232"
슈퍼 독 개꾸쟁 1 : 덩림픽 구하기 대작전,정용환,2018-08-09,"10,800",양장본,192,140*202mm,440,어린이,고릴라박스(비룡소),"1,060"
집주인이 보증금을 안 주네요,허재삼,2018-08-20,"14,400",반양장본,288,150*220mm,514,경제경영,나비의활주로,"1,280"
열이 난 밤에,김민주,2018-08-10,"10,800",양장본,40,210*250mm,328,유아,책읽는곰,520
휴일 버릇 업무까지 간다,이케모토 가쓰유키,2018-07-30,"12,420",NA,232,148*210mm,302,자기계발,비빔북스,"1,020"
어떻게 천만 원으로 빌라 21채를 낙찰받았을까?,엘디,2018-08-13,"14,850",NA,276,165*220mm,524,경제경영,다온북스,"1,120"
집에 온 고양이 빈센트,"제시카 배글리,?애런 배글리",2018-08-06,"10,800",양장본,40,279*216mm,415,유아,JEI재능교육(재능출판),60
