Restaurant Name,Rating,Address,Tel,Food,Price,Parking,Operating Time,Holiday
은성장,-,서울시 중구 을지로3가 296-4,,탕 / 찌개 / 전골,만원-2만원,주차공간없음,08:30 - 22:00,
사마르칸트시티,-,서울시 중구 을지로6가 35-1,02-6014-6368,세계음식 기타,만원 미만,주차공간없음,11:00 - 23:00,
가야성,-,서울시 중구 을지로2가 101-38,02-2267-3939,정통 중식 / 일반 중식,만원 미만,주차공간없음,10:30 - 21:30,일
카페진정성,-,서울시 중구 소공동 1,,카페 / 디저트,만원 미만,,,
충무칼국수,-,서울시 중구 저동2가 3-5,02-2274-0056,국수 / 면 요리,만원 미만,주차공간없음,11:00 - 20:00,"토, 일"
열봉이,-,서울시 중구 을지로6가 18-71,02-2272-9242,닭 / 오리 요리,만원-2만원,주차공간없음,17:00 - 05:00,화
서울회관,-,서울시 중구 저동1가 48,02-753-3392,고기 요리,3만원-4만원,무료주차 가능,11:00 - 22:00,
너비집,-,서울시 중구 을지로2가 199-73,02-756-4084,고기 요리,4만원 이상,유료주차 가능,11:30 - 22:00,
영락골뱅이,-,서울시 중구 저동2가 80-1,,일반 주점,만원-2만원,주차공간없음,월-토: 13:00 - 01:30 일: 13:00 - 24:00,
에맥앤볼리오스,-,서울시 중구 을지로7가 2-1,02-2153-0722,카페 / 디저트,만원 미만,유료주차 가능,10:00 - 22:00,
팔색삼겹살,-,서울시 중구 을지로6가 18-84,02-2264-8388,고기 요리,2만원-3만원,주차공간없음,00:00 - 24:00,
핫텐도,-,서울시 중구 소공동 1,02-772-3011,베이커리,만원 미만,유료주차 가능,10:30 - 20:00,
을지맥옥,-,서울시 중구 을지로3가 344-17,02-2272-1825,치킨 / 호프 / 펍,만원-2만원,주차공간없음,17:00 - 01:00,일
일번지곱창대창,-,서울시 중구 을지로2가 199-64,02-773-3150,고기 요리,만원-2만원,주차공간없음,월-금: 16:00 - 01:00 토-일: 16:00 - 24:00,
이남장,-,서울시 중구 을지로2가 101-32,02-2267-4081,탕 / 찌개 / 전골,만원-2만원,유료주차 가능,월-금: 09:00 - 21:50 토-일: 09:00 - 21:00,
대가,-,서울시 중구 을지로1가 37,02-754-2600,라멘 / 소바 / 우동,만원 미만,주차공간없음,09:00 - 21:30,"토, 일"
할리스커피,-,서울시 중구 을지로6가 18-134,02-2272-3331,카페 / 디저트,만원 미만,주차공간없음,00:00 - 24:00,
찬청,-,서울시 중구 을지로7가 2-1,02-2235-1717,기타 한식,만원 미만,유료주차 가능,11:00 - 22:00,
을지골뱅이,-,서울시 중구 저동2가 76-5,02-2264-2870,치킨 / 호프 / 펍,2만원-3만원,주차공간없음,13:00 - 02:00,
화룽마라룽샤,-,서울시 중구 을지로2가 199-74,02-3789-7890,기타 중식,2만원-3만원,주차공간없음,11:00 - 24:00,
훅트포케,-,서울시 중구 을지로2가 101-30,070-7757-0976,세계음식 기타,만원 미만,,월-금: 11:00 - 21:00 토-일: 11:30 - 20:30,
김삼보,-,서울시 중구 을지로6가 30-5,02-2272-0189,탕 / 찌개 / 전골,만원 미만,주차공간없음,00:00 - 24:00,
진짜해장국,-,서울시 중구 을지로6가 18-85,,한정식 / 백반 / 정통 한식,만원-2만원,주차공간없음,00:00 - 24:00,
잇츠크리스피,-,서울시 중구 수하동 68,02-6021-5566,베이커리,만원 미만,,월-금: 07:00 - 22:30 토-일: 09:00 - 22:00,일
하남돼지집,-,서울시 중구 을지로2가 199-77,02-772-9995,고기 요리,만원-2만원,주차공간없음,15:00 - 24:00,
1988 서울불고기,-,서울시 중구 을지로7가 2-1,02-2252-1988,탕 / 찌개 / 전골,만원-2만원,유료주차 가능,11:30 - 22:00,
다동골뱅이치킨,-,서울시 중구 다동 144,02-778-2935,치킨 / 호프 / 펍,만원-2만원,주차공간없음,17:00 - 01:00,
세이슌,-,서울시 중구 을지로2가 199-76,02-310-9309,한정식 / 백반 / 정통 한식,만원-2만원,주차공간없음,10:30 - 22:00,일
모모야,-,서울시 중구 을지로7가 2-1,02-2237-0077,까스 요리,만원-2만원,유료주차 가능,10:00 - 22:00,
투썸플레이스,-,서울시 중구 을지로1가 192-11,,카페 / 디저트,만원 미만,,,
을지황소곱창,-,서울시 중구 수표동 56-7,02-2277-9792,고기 요리,만원-2만원,유료주차 가능,16:00 - 23:00,
아우르는해와달,-,서울시 중구 을지로6가 18-66,,탕 / 찌개 / 전골,만원-2만원,,,
한우방,-,서울시 중구 을지로2가 199-56,02-753-5030,고기 요리,2만원-3만원,주차공간없음,10:30 - 23:30,
호토모토,-,서울시 중구 을지로2가 199-33,02-778-3181,기타 일식,만원-2만원,,07:30 - 21:00,
빈집,-,서울시 중구 저동2가 5-3,070-8160-0101,치킨 / 호프 / 펍,만원-2만원,주차공간없음,18:00 - 24:00,일
동표골뱅이,-,서울시 중구 을지로3가 344-1,02-2274-5247,해산물 요리,만원-2만원,주차공간없음,14:00 - 02:00,
계절밥상,-,서울시 중구 을지로6가 21-31,02-6262-4715,뷔페,2만원-3만원,유료주차 가능,11:00 - 22:00,
우촌돌솥설렁탕,-,서울시 중구 저동2가 10,,탕 / 찌개 / 전골,만원-2만원,주차공간없음,09:30 - 22:00,
델리카한스,-,서울시 중구 소공동 1,02-317-7148,베이커리,4만원 이상,무료주차 가능 당일 무료,07:00 - 22:00,
동강나루터,-,서울시 중구 수표동 56-10,02-2273-5989,탕 / 찌개 / 전골,만원-2만원,주차공간없음,10:00 - 22:00,일
카페그레벵,-,서울시 중구 을지로1가 63,02-777-0050,프랑스 음식,만원-2만원,,10:00 - 22:00,
비어킹,-,서울시 중구 을지로6가 18-130,,치킨 / 호프 / 펍,만원-2만원,,14:00 - 04:00,
빌라드샬롯,-,서울시 중구 장교동 74,02-6112-1050,스테이크 / 바베큐,2만원-3만원,유료주차 가능,06:30 - 22:00,
전주옥,-,서울시 중구 수표동 56-4,02-2279-1710,고기 요리,만원-2만원,,11:00 - 23:00,일
남도한식정든님,-,서울시 중구 을지로2가 163-5,02-778-9462,한정식 / 백반 / 정통 한식,만원-2만원,주차공간없음,11:00 - 22:00,
을지로맨틱,-,서울시 중구 을지로3가 295-5,010-8291-1988,칵테일 / 와인,2만원-3만원,무료주차 가능,18:00 - 23:30,일
코코이찌방야,-,서울시 중구 을지로6가 21-31,,기타 일식,만원 미만,,11:00 - 23:00,
나주곰탕,-,서울시 중구 을지로2가 199-53,02-318-0879,탕 / 찌개 / 전골,만원 미만,주차공간없음,00:00 - 24:00,
스타벅스,-,서울시 중구 을지로1가 50,02-758-8505,카페 / 디저트,만원 미만,주차공간없음,월-금: 07:30 - 21:00 토: 08:00 - 21:00 일: 08:00 - 20:00,
하루,-,서울시 중구 을지로2가 101-21,02-2266-7787,회 / 스시,2만원-3만원,유료주차 가능,월-금: 11:30 - 21:30 토: 12:00 - 19:00,일
이화수전통육개장,-,서울시 중구 수표동 56-1,02-778-4042,탕 / 찌개 / 전골,만원 미만,주차공간없음,월-금: 11:00 - 23:00 토-일: 11:00 - 22:00,
포베이,-,서울시 중구 을지로7가 143,02-2233-9460,베트남 음식,만원-2만원,유료주차 가능,11:00 - 22:00,
더 캑터스 카페,-,서울시 중구 을지로5가 275-3,010-7508-8077,카페 / 디저트,만원-2만원,유료주차 가능,11:30 - 14:30,일
육첩반상,-,서울시 중구 을지로2가 203,,한정식 / 백반 / 정통 한식,만원 미만,,,
내림손삼계탕,-,서울시 중구 을지로6가 18-40,02-2265-0118,탕 / 찌개 / 전골,만원-2만원,유료주차 가능,10:00 - 22:30,
찰스숯불김밥,-,서울시 중구 을지로1가 192-11,02-318-9890,기타 한식,만원 미만,주차공간없음,08:00 - 21:00,일
곰대감,-,서울시 중구 을지로7가 2-1,,탕 / 찌개 / 전골,만원 미만,,,
왕왕수제비,-,서울시 중구 을지로1가 192-11,02-777-8990,국수 / 면 요리,만원 미만,주차공간없음,11:00 - 21:00,일
감각의제국,-,서울시 중구 을지로3가 302-15,010-2778-2953,칵테일 / 와인,만원-2만원,주차공간없음,월-목: 18:00 - 24:00 금-토: 18:00 - 02:00,일
아워스,-,서울시 중구 저동1가 48,070-8810-6687,퓨전 중식,만원-2만원,유료주차 가능,11:00 - 22:00,
운다피자,-,서울시 중구 을지로7가 2-1,02-2153-0757,기타 양식,만원 미만,,,
서울고기집,-,서울시 중구 다동 117,02-722-1005,고기 요리,만원-2만원,유료주차 가능,10:00 - 01:00,
동대문엽기떡볶이,-,서울시 중구 을지로6가 23-7,,기타 한식,만원-2만원,주차공간없음,월-토: 11:00 - 03:00 일: 11:00 - 23:00,
청계천 강릉장칼국수,-,서울시 중구 을지로2가 101-39,02-2277-1133,국수 / 면 요리,만원 미만,무료주차 가능,11:00 - 21:00,
우일집,-,서울시 중구 을지로3가 155-4,,고기 요리,만원-2만원,주차공간없음,10:00 - 22:00,일
상우그릴스101,-,서울시 중구 을지로2가 101-28,02-2268-1012,고기 요리,4만원 이상,주차공간없음,11:00 - 22:00,"토, 일"
한연양꼬치,-,서울시 중구 을지로6가 18-63,02-2285-5668,기타 중식,2만원-3만원,주차공간없음,16:00 - 06:00,둘째/넷째 일
하남돼지집,-,서울시 중구 을지로6가 18-64,02-2266-3030,고기 요리,만원-2만원,유료주차 가능,11:00 - 05:00,
을지삼계탕,-,서울시 중구 을지로2가 101-12,02-2277-7780,탕 / 찌개 / 전골,만원-2만원,주차공간없음,08:00 - 21:30,
후안발데스카페,-,서울시 중구 을지로7가 2-1,,카페 / 디저트,만원 미만,주차공간없음,월-금: 08:00 - 23:00 토-일: 09:00 - 23:00,
히노아지,-,서울시 중구 을지로2가 199-52,02-772-9568,라멘 / 소바 / 우동,만원 미만,,10:30 - 21:30,
황소곱창,-,서울시 중구 광희동1가 142,02-2265-2255,고기 요리,,,,
정성본,-,서울시 중구 을지로6가 18-84,02-2269-5270,탕 / 찌개 / 전골,만원-2만원,주차공간없음,10:00 - 07:00,
공차,-,서울시 중구 을지로7가 2-1,02-2153-0710,카페 / 디저트,만원 미만,,10:00 - 21:30,
송정민물장어,-,서울시 중구 광희동1가 38-1,02-2268-0592,기타 한식,4만원 이상,,10:30 - 22:30,
벗님들와규,-,서울시 중구 을지로6가 18-129,02-2278-9946,고기 요리,만원-2만원,주차공간없음,11:30 - 22:00,
마포만두,-,서울시 중구 을지로1가 32,02-755-5158,기타 한식,만원 미만,주차공간없음,00:00 - 24:00,일
더착한커피,-,서울시 중구 을지로7가 2-1,02-2153-0788,카페 / 디저트,만원 미만,유료주차 가능,09:00 - 22:00,
스타벅스,-,서울시 중구 을지로2가 88-5,02-6250-8280,카페 / 디저트,만원 미만,유료주차 가능,월-금: 07:00 - 23:00 토: 08:00 - 22:00 일: 08:00 - 20:00,
개성닭한마리,-,서울시 중구 을지로6가 18-103,,닭 / 오리 요리,2만원-3만원,,,
타마고,-,서울시 중구 을지로2가 149-10,070-8805-0922,정통 일식 / 일반 일식,만원 미만,주차공간없음,11:00 - 21:00,"토, 일"
도쿄가든,-,서울시 중구 을지로2가 9-7,,돈부리 / 일본 카레 / 벤토,만원-2만원,,,
플라쟈,-,서울시 중구 산림동 207-2,02-2275-4580,이탈리안,만원 미만,유료주차 가능,월-금: 11:30 - 21:00 토: 13:00 - 21:00,일
수유리우동집,-,서울시 중구 을지로6가 18-84,,기타 한식,만원 미만,,,
가장맛있는족발,-,서울시 중구 광희동1가 143-2,02-2285-2004,고기 요리,만원-2만원,,,
BBQ치킨,-,서울시 중구 을지로6가 23-26,02-2272-0984,닭 / 오리 요리,만원-2만원,,,
한복카페,-,서울시 중구 을지로6가 18-40,070-7569-0652,카페 / 디저트,2만원-3만원,주차공간없음,11:00 - 18:00,수
오븐에빠진닭,-,서울시 중구 을지로3가 296-5,,치킨 / 호프 / 펍,만원-2만원,주차공간없음,14:00 - 02:00,일
원조골뱅이,-,서울시 중구 을지로2가 199-62,02-757-5081,해산물 요리,만원-2만원,주차공간없음,14:00 - 02:00,
디엣지,-,서울시 중구 을지로3가 334-8,,카페 / 디저트,만원 미만,,,
명동순대국,-,서울시 중구 을지로2가 197,02-3789-1179,기타 한식,만원 미만,,10:00 - 10:00,
미소야,-,서울시 중구 을지로7가 2-1,02-2153-0753,퓨전 일식,만원-2만원,주차공간없음,09:00 - 23:00,
교동짬뽕,-,서울시 중구 을지로7가 2-1,,정통 중식 / 일반 중식,만원 미만,,,
촙촙,-,서울시 중구 저동2가 2-5,02-2261-1361,베트남 음식,만원-2만원,주차공간없음,월-목: 11:30 - 22:00 금-토: 11:30 - 23:00 일: 11:30 - 20:00,
제주본가,-,서울시 중구 을지로1가 47-3,02-777-5668,고기 요리,만원-2만원,주차공간없음,09:00 - 23:30,일
쥬시스테이크,-,서울시 중구 을지로2가 199-77,070-7743-9292,스테이크 / 바베큐,만원-2만원,주차공간없음,월-금: 11:00 - 23:00 토-일: 11:00 - 22:00,
맛깔참죽,-,서울시 중구 을지로2가 149-10,02-753-1009,기타 한식,만원 미만,,08:00 - 20:30,
돌깨마을맷돌순두부,-,서울시 중구 을지로6가 18-137,02-2271-9999,한정식 / 백반 / 정통 한식,만원-2만원,주차공간없음,09:30 - 22:00,
만족오향족발,-,서울시 중구 을지로6가 18-77,02-2271-0880,고기 요리,만원-2만원,유료주차 가능,월-금: 16:00 - 24:00 토-일: 14:00 - 24:00,
민정식당,-,서울시 중구 을지로6가 18-55,02-2272-8847,한정식 / 백반 / 정통 한식,만원 미만,주차공간없음,07:00 - 22:30,
파스쿠찌,-,서울시 중구 을지로6가 18-35,,카페 / 디저트,만원 미만,,10:30 - 01:00,화
평균율,-,서울시 중구 초동 17-4,02-2275-9249,카페 / 디저트,만원 미만,주차공간없음,12:00 - 24:00,일
만랩커피,-,서울시 중구 을지로3가 296-3,,카페 / 디저트,만원 미만,,,
묵호횟집,-,서울시 중구 을지로2가 199-18,02-779-2280,해산물 요리,4만원 이상,주차공간없음,09:30 - 22:30,
한우리,-,서울시 중구 소공동 1,02-772-3774,탕 / 찌개 / 전골,만원-2만원,유료주차 가능,10:30 - 21:00,
70s 라디오펍,-,서울시 중구 을지로2가 199-63,02-777-4986,치킨 / 호프 / 펍,2만원-3만원,주차공간없음,월-금: 10:00 - 02:00 토-일: 10:00 - 01:30,
서라벌숯불구이,-,서울시 중구 을지로6가 18-75,02-2273-1188,고기 요리,만원-2만원,주차공간없음,10:30 - 02:30,
해천죽전문점,-,서울시 중구 을지로6가 18-131,02-2279-3733,기타 한식,만원 미만,,10:30 - 22:00,
둘둘치킨,-,서울시 중구 을지로2가 199-76,02-765-4422,치킨 / 호프 / 펍,만원-2만원,주차공간없음,11:00 - 01:00,
에어포트,-,서울시 중구 을지로2가 199-7,02-776-5045,일반 주점,2만원-3만원,,19:00 - 02:30,
부추곱창,-,서울시 중구 을지로6가 18-40,02-2268-1733,고기 요리,만원-2만원,주차공간없음,14:00 - 02:00,
민속촌,-,서울시 중구 을지로2가 199-51,02-779-8371,전통 주점 / 포차,만원-2만원,주차공간없음,00:00 - 24:00,
BHC치킨,-,서울시 중구 광희동1가 142,02-2278-0053,닭 / 오리 요리,만원-2만원,,,
바다일번지,-,서울시 중구 다동 143,02-775-6010,회 / 스시,2만원-3만원,주차공간없음,10:00 - 24:00,
파스타스파게티맛있는집,-,서울시 중구 을지로6가 18-84,,이탈리안,만원 미만,,,
무교동원조갈매기집,-,서울시 중구 다동 142,02-778-5687,고기 요리,만원-2만원,주차공간없음,,
을지수제비,-,서울시 중구 을지로3가 291-39,,한정식 / 백반 / 정통 한식,만원 미만,주차공간없음,월-금: 11:30 - 22:00 토: 11:30 - 15:00,일
곰솥집,-,서울시 중구 을지로2가 199-13,02-756-4094,한정식 / 백반 / 정통 한식,만원 미만,,,
슈퍼커피,-,서울시 중구 을지로2가 197,02-752-7521,카페 / 디저트,만원 미만,,월-금: 07:00 - 21:00 토-일: 12:00 - 20:00,
목포세발낙지,-,서울시 중구 다동 144,02-777-7143,해산물 요리,,,,
포베이,-,서울시 중구 을지로6가 18-53,02-2278-4043,베트남 음식,만원-2만원,주차공간없음,월-토: 00:00 - 24:00 일: 10:00 - 21:00,
석원정,-,서울시 중구 을지로6가 18-52,02-2265-8803,고기 요리,만원-2만원,,10:30 - 22:30,
남원추어탕,-,서울시 중구 을지로5가 79-1,010-3736-9872,탕 / 찌개 / 전골,만원-2만원,,,
아쿠아,-,서울시 중구 소공동 1,02-726-4070,정통 일식 / 일반 일식,4만원 이상,,11:30 - 21:30,
오가와,4.7,서울시 종로구 당주동 5,02-735-1001,회 / 스시,4만원 이상,유료주차 가능,12:00 - 22:30,"토, 일"
폴앤폴리나,4.7,서울시 종로구 내수동 74,02-739-5520,베이커리,만원 미만,유료주차 가능,12:00 - 19:00,"일, 첫째 월"
더미,4.7,서울시 종로구 종로1가 24,02-2075-6611,고기 요리,3만원-4만원,무료주차 가능 2시간 무료,11:00 - 22:00,
