노선명,항공사,출발지,출발국,도착지,도착국,검수,2016.6,2018.5,상태,비고,운항 횟수,운항_2016,운항_2017,운항_2018,운항_2016.12,운항_2017.1,운항_2017.2,운항_2017.12,운항_2018.1,운항_2018.2,운항_2016겨울,운항_2017겨울,운항_겨울 총합,운항_2017.3,운항_2017.4,운항_2017.5,운항_2018.3,운항_2018.4,운항_2018.5,운항_2017봄,운항_2018봄,운항_봄 총합,운항_2016.6,운항_2016.7,운항_2016.8,운항_2017.6,운항_2017.7,운항_2017.8,운항_2016여름,운항_2017여름,운항_여름 총합,운항_2016.9,운항_2016.10,운항_2016.11,운항_2017.9,운항_2017.10,운항_2017.11,운항_2016가을,운항_2017가을,운항_가을 총합,운송량,운송량_2016,운송량_2017,운송량_2018,운송량_2016.12,운송량_2017.1,운송량_2017.2,운송량_2017.12,운송량_2018.1,운송량_2018.2,운송량_2016겨울,운송량_2017겨울,운송량_겨울 총합,운송량_2017.3,운송량_2017.4,운송량_2017.5,운송량_2018.3,운송량_2018.4,운송량_2018.5,운송량_2017봄,운송량_2018봄,운송량_봄총합,운송량_2016.6,운송량_2016.7,운송량_2016.8,운송량_2017.6,운송량_2017.7,운송량_2017.8,운송량_2016여름,운송량_2017여름,운송량_여름 총합,운송량_2016.9,운송량_2016.10,운송량_2016.11,운송량_2017.9,운송량_2017.10,운송량_2017.11,운송량_2016가을,운송량_2017가을,운송량_가을 총합
7J887,Tajik Air,DYU,TJK,PEK,CHN,O,O,O,완료,2017.02.27 이후 기록 없음,9,8,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,1800,1576,224,0,0,0,224,0,0,0,224,0,224,0,0,0,0,0,0,0,0,0,394,788,394,0,0,0,1576,0,1576,0,0,0,0,0,0,0,0,0
7R126,Rusline,AKX,KAZ,DME,RUS,O,O,O,완료,2016.10.24. 이후 폐선,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,12,0,12,4,2,0,0,0,0,6,0,6,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,200,250,0,0,0,600,0,600,200,100,0,0,0,0,300,0,300
A9772,Airzena Georgian Airways,TSE,KAZ,BUS,GEO,O,O,O,완료,2017.08.28. 이후 폐선,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,0,11,11,0,0,0,0,0,0,0,0,0,1452,0,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,660,528,0,1452,1452,0,0,0,0,0,0,0,0,0
AY2052,Finnair,TSE,KAZ,HEL,FIN,O,O,O,완료,2017.08.11. 이후 폐선,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,16,16,0,0,0,0,0,0,0,0,0,2235,0,2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,1104,579,0,2235,2235,0,0,0,0,0,0,0,0,0
AY7003,Finnair,TSE,KAZ,HMA,RUS,O,O,O,완료,2017.02.02. 하루 운항,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,138,0,0,0,138,0,0,0,138,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AY7503,Finnair,TSE,KAZ,OVB,RUS,O,O,O,완료,2017.10.31. 하루 운항,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,138,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,138,138
B2746,Belavia,ASB,TKM,MSQ,BLR,O,O,O,완료,,184,65,98,21,6,8,8,4,4,4,22,12,34,8,5,6,4,4,5,19,13,32,8,14,11,9,11,14,33,34,67,17,4,5,16,4,5,26,25,51,29688,11023,15669,2996,1011,1348,1141,674,715,687,3500,2076,5576,1085,835,1011,508,483,603,2931,1594,4525,1377,2420,1988,1701,1991,2397,5785,6089,11874,2676,750,801,2194,539,753,4227,3486,7713
B2768,Belavia,ALA,KAZ,MSQ,BLR,O,O,O,완료,,311,91,154,66,13,13,12,13,13,11,38,37,75,12,13,13,13,13,16,38,42,80,13,13,13,13,13,14,39,40,79,13,13,13,11,14,13,39,38,77,58374,16911,29001,12462,2451,2388,2268,2457,2457,2079,7107,6993,14100,2268,2457,2454,2457,2451,3018,7179,7926,15105,2370,2370,2448,2451,2451,2634,7188,7536,14724,2376,2442,2454,2076,2640,2457,7272,7173,14445
B2770,Belavia,KGF,KAZ,MSQ,BLR,O,O,O,완료,2017.08.29. 이후 폐선,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,4,4,10,9,19,1,0,0,0,0,0,1,0,1,2480,1385,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,511,634,123,489,483,1265,1095,2360,120,0,0,0,0,0,120,0,120
B2772,Belavia,PWQ,KAZ,MSQ,BLR,O,O,O,완료,,39,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,9,19,18,37,2,0,0,0,0,0,2,0,2,5121,2762,2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,1276,1095,1167,0,1192,2519,2359,4878,243,0,0,0,0,0,243,0,243
B2774,Belavia,TSE,KAZ,MSQ,BLR,O,O,O,완료,,142,51,70,21,4,4,4,5,4,4,12,13,25,4,5,4,4,5,4,13,13,26,5,14,13,5,13,13,32,31,63,6,5,4,4,5,4,15,13,28,18341,6940,9043,2358,469,428,428,617,469,428,1325,1514,2839,510,535,441,482,551,428,1486,1461,2947,794,2031,1766,781,1841,1948,4591,4570,9161,753,617,510,551,535,428,1880,1514,3394
B2776,Belavia,TSE,KAZ,MSQ,BLR,O,O,O,완료,,544,167,275,102,23,21,17,17,17,16,61,50,111,20,25,27,21,21,27,72,69,141,25,22,23,25,26,27,70,78,148,24,26,24,26,25,19,74,70,144,67414,21745,34555,11114,2872,2216,1788,2065,1876,1728,6876,5669,12545,2427,2701,2930,2276,2329,2905,8058,7510,15568,3231,3563,3736,3429,4382,4378,10530,12189,22719,2972,2705,2666,3505,2675,2059,8343,8239,16582
B2780,Belavia,KSN,KAZ,MSQ,BLR,O,O,O,완료,2017.09.01. 이후 폐선,39,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,8,1,8,9,18,18,36,2,0,0,1,0,0,2,1,3,4924,2627,2297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1164,1100,120,969,1101,2384,2190,4574,243,0,0,107,0,0,243,107,350
B28004-1,Belavia,TAS,UZB,MSQ,BLR,O,O,O,완료,2017.11.03 하루,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,120,0,120
B28004-2,Belavia,FRU,KGZ,MSQ,BLR,O,O,O,완료,2016.11.03 하루,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,107,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,107,107
B29008,Belavia,DYU,TJK,MSQ,BLR,O,O,O,완료,"2018.05.12, 2018.05.23. ",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,378,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT747,Air Baltic,ALA,KAZ,RIX,LAT,O,O,O,완료,,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030,0,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,145,1885,0,2030,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA792,Air China,TSE,KAZ,PEK,CHN,O,O,O,완료,,137,0,85,52,0,0,0,9,7,8,0,24,24,0,0,0,10,13,14,0,37,37,0,0,0,13,13,14,0,40,40,0,0,0,12,14,10,0,36,36,21646,0,13430,8216,0,0,0,1422,1106,1264,0,3792,3792,0,0,0,1580,2054,2212,0,5846,5846,0,0,0,2054,2054,2212,0,6320,6320,0,0,0,1896,2212,1580,0,5688,5688
CZ6006,China Southern Airlines,FRU,KGZ,URC,CHN,O,O,O,완료,,476,140,239,97,22,16,16,22,21,13,54,56,110,20,21,21,21,21,21,62,63,125,22,21,21,22,21,21,64,64,128,20,14,20,21,17,21,54,59,113,73664,20364,37612,15688,3344,2492,2360,3608,3444,2132,8196,9184,17380,3060,3224,3224,3444,3268,3400,9508,10112,19620,2728,3224,3356,3564,3444,3444,9308,10452,19760,2752,2164,2796,3180,2700,3312,7712,9192,16904
CZ6012,China Southern Airlines,ALA,KAZ,URC,CHN,O,O,O,완료,,645,194,320,131,25,24,25,23,29,18,74,70,144,29,26,27,29,28,27,82,84,166,29,26,29,24,29,29,84,82,166,30,29,26,30,27,27,85,84,169,86400,25854,45794,14752,3220,3144,3066,2650,3106,1764,9430,7520,16950,3854,3780,4076,2996,3316,3570,11710,9882,21592,2908,3648,3876,3936,4712,4228,10432,12876,23308,4568,4140,3494,4700,3724,3924,12202,12348,24550
CZ6014,China Southern Airlines,TSE,KAZ,URC,CHN,O,O,O,완료,2017.11.27. 이후 폐선,227,88,139,0,10,10,7,0,0,0,27,0,27,14,11,15,0,0,0,40,0,40,13,13,14,15,17,16,40,48,88,13,12,13,15,9,10,38,34,72,23126,8668,14458,0,980,980,686,0,0,0,2646,0,2646,1394,1078,1470,0,0,0,3942,0,3942,1274,1296,1394,1602,2260,1656,3964,5518,9482,1274,1176,1274,1470,882,980,3724,3332,7056
CZ6016,China Southern Airlines,ASB,TKM,URC,CHN,O,O,O,완료,,177,49,97,31,8,8,5,7,9,4,21,20,41,9,8,9,8,6,4,26,18,44,3,9,4,8,10,9,16,27,43,7,8,10,8,7,9,25,24,49,27532,7420,15688,4424,1312,1312,820,1104,1476,568,3444,3148,6592,1476,1312,1476,1092,720,568,4264,2380,6644,360,1080,612,1224,1640,1476,2052,4340,6392,1148,1268,1640,1268,1148,1432,4056,3848,7904
CZ6020,China Southern Airlines,DYU,TJK,URC,CHN,O,O,O,완료,,147,18,89,40,0,1,5,8,8,5,6,21,27,9,9,8,9,9,9,26,27,53,6,9,0,8,7,8,15,23,38,0,3,0,8,9,9,3,26,29,24022,2952,14508,6562,0,120,820,1312,1312,822,940,3446,4386,1476,1476,1312,1476,1476,1476,4264,4428,8692,984,1476,0,1268,1148,1312,2460,3728,6188,0,492,0,1312,1476,1476,492,4264,4756
CZ6028,China Southern Airlines,TAS,UZB,PEK,CHN,O,O,O,완료,,203,61,101,41,9,6,8,9,9,6,23,24,47,9,8,9,9,9,8,26,26,52,8,9,9,9,9,8,26,26,52,9,9,8,9,9,8,26,26,52,43654,14516,20982,8156,2040,1548,1876,1570,1592,1172,5464,4334,9798,2040,1406,1946,1946,1664,1782,5392,5392,10784,1970,2322,2040,1852,1852,1688,6332,5392,11724,2134,2134,1876,1852,1758,1594,6144,5204,11348
CZ6030,China Southern Airlines,TAS,UZB,URC,CHN,O,O,O,완료,,176,45,92,39,7,7,5,9,8,5,19,22,41,6,7,8,9,9,8,21,26,47,6,7,5,9,8,8,18,25,43,4,8,8,9,8,8,20,25,45,27324,6412,15044,5868,1148,1148,820,1476,1312,820,3116,3608,6724,984,1148,1312,1344,1344,1048,3444,3736,7180,720,840,600,1476,1312,1312,2160,4100,6260,480,1312,1312,1476,1268,1312,3104,4056,7160
CZ6032,China Southern Airlines,LBD,TJK,URC,CHN,O,O,O,완료,,124,34,63,27,5,7,3,4,6,4,15,14,29,5,4,5,8,4,5,14,17,31,5,4,5,4,4,7,14,15,29,4,4,7,8,8,4,15,20,35,19900,5356,10160,4384,820,1148,492,660,984,656,2460,2300,4760,820,656,820,1268,656,820,2296,2744,5040,644,612,820,656,656,1016,2076,2328,4404,656,656,1148,1268,1312,656,2460,3236,5696
CZ6034,China Southern Airlines,OSS,KGZ,URC,CHN,O,O,O,완료,2017년 5.2~12.5 운영 안함,69,36,21,12,7,5,4,3,4,1,16,8,24,4,4,1,4,3,0,9,7,16,4,4,5,0,0,0,13,0,13,4,4,8,0,0,0,16,0,16,9732,4672,3092,1968,1016,688,656,492,656,164,2360,1312,3672,612,524,120,656,492,0,1256,1148,2404,480,480,600,0,0,0,1560,0,1560,480,480,1136,0,0,0,2096,0,2096
DP834,Pobeda,ALA,KAZ,KUF,RUS,O,O,O,완료,2017.12.12. 이후 폐선,233,30,203,0,20,21,20,7,0,0,61,7,68,20,17,17,0,0,0,54,0,54,0,0,0,15,18,18,0,51,51,0,0,10,17,18,15,10,50,60,44037,5670,38367,0,3780,3969,3780,1323,0,0,11529,1323,12852,3780,3213,3213,0,0,0,10206,0,10206,0,0,0,2835,3402,3402,0,9639,9639,0,0,1890,3213,3402,2835,1890,9450,11340
DV461,SCAT,ALA,KAZ,SYX,CHN,O,O,O,완료,,52,0,37,15,0,3,4,1,3,3,7,7,14,4,5,0,5,2,2,9,9,18,0,0,0,0,5,4,0,9,9,0,0,0,5,4,2,0,11,11,12295,0,8750,3545,0,760,940,235,705,705,1700,1645,3345,940,1175,0,1175,470,490,2115,2135,4250,0,0,0,0,1175,940,0,2115,2115,0,0,0,1175,940,470,0,2585,2585
DV463,SCAT,TSE,KAZ,SYX,CHN,O,O,O,완료,,37,0,23,14,0,2,4,2,4,2,6,8,14,4,4,0,4,2,2,8,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,7,8680,0,5460,3220,0,470,940,525,940,470,1410,1935,3345,940,940,0,940,470,400,1880,1810,3690,0,0,0,0,0,0,0,0,0,0,0,0,0,705,940,0,1645,1645
DV745,SCAT,TSE,KAZ,EVN,ARM,O,O,O,완료,2017.10.11. 이후 페선,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,0,19,19,0,0,0,7,2,0,0,9,9,2564,0,2564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,544,586,0,1572,1572,0,0,0,730,262,0,0,992,992
DV777,SCAT,ALA,KAZ,XIY,CHN,O,O,O,완료,,86,27,40,19,5,2,1,3,3,3,8,9,17,3,3,4,5,4,4,10,13,23,4,2,4,5,4,5,10,14,24,4,4,4,3,4,3,12,10,22,7190,2016,3728,1446,390,288,18,254,54,154,696,462,1158,254,380,472,290,398,550,1106,1238,2344,172,288,298,390,424,416,758,1230,1988,398,172,298,254,272,306,868,832,1700
DV799,SCAT,TSE,KAZ,KRR,RUS,O,O,O,완료,2018.05.30. 부터 운항,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV801-1,SCAT,CIT,KAZ,DME,RUS,O,O,O,완료,2017.10.11.까지,85,33,52,0,9,7,4,0,0,0,20,0,20,11,3,4,0,0,0,18,0,18,12,2,4,8,5,4,18,17,35,1,0,5,4,2,0,6,6,12,8348,2858,5490,0,640,552,298,0,0,0,1490,0,1490,1002,154,550,0,0,0,1706,0,1706,768,288,576,1026,720,576,1632,2322,3954,144,0,442,450,162,0,586,612,1198
DV801-2,SCAT,CIT,KAZ,VKO,RUS,O,O,O,완료,2017.11.05.부터,43,0,8,35,0,0,0,7,4,4,0,15,15,0,0,0,6,13,8,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6500,0,1126,5374,0,0,0,982,576,576,0,2134,2134,0,0,0,838,2007,1377,0,4222,4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,144,144
DV803-1,SCAT,AKX,KAZ,DME,RUS,O,O,O,완료,2017.09.01.까지 운항,67,44,23,0,2,4,4,0,0,0,10,0,10,5,2,2,0,0,0,9,0,9,4,9,9,2,1,2,22,5,27,9,8,3,1,0,0,20,1,21,4560,3342,1218,0,168,268,200,0,0,0,636,0,636,250,100,100,0,0,0,450,0,450,268,588,562,100,50,100,1418,250,1668,762,844,150,50,0,0,1756,50,1806
DV803-2,SCAT,AKX,KAZ,VKO,RUS,O,O,O,완료,2017.09.06.부터 운항,16,0,15,1,0,0,0,5,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,10,10,800,0,750,50,0,0,0,250,50,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,150,300,0,500,500
DV805-1,SCAT,SCO,KAZ,DME,RUS,O,O,O,완료,2017.10.27.까지 운항,186,82,104,0,9,11,9,0,0,0,29,0,29,10,9,9,0,0,0,28,0,28,11,13,12,12,11,11,36,34,70,13,12,12,13,9,0,37,22,59,17292,8046,9246,0,612,806,450,0,0,0,1868,0,1868,636,578,706,0,0,0,1920,0,1920,1104,1390,1524,946,1480,1380,4018,3806,7824,1464,1352,600,1642,622,0,3416,2264,5680
DV805-2,SCAT,SCO,KAZ,VKO,RUS,O,O,O,완료,2017.11.03.부터 운항,51,0,21,30,0,0,0,10,8,4,0,22,22,0,0,0,8,7,3,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,11,2612,0,1050,1562,0,0,0,500,400,200,0,1100,1100,0,0,0,400,350,212,0,962,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,550,550
DV807-1,SCAT,LBD,TJK,DMB,KAZ,O,O,O,완료,2016.11.05. 이후 폐선,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,10,0,10,8,6,1,0,0,0,15,0,15,3600,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,864,0,0,0,1440,0,1440,1152,864,144,0,0,0,2160,0,2160
DV807-2,SCAT,ALA,KAZ,JED,KSA,O,O,O,완료,2017.08.25. 2017.09.07. 2017.09.09.,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,2,2,870,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,290,290,0,0,0,580,0,0,0,580,580
