도시코드,도 시 명,공 항 명,국  가
DTW,DETROIT METROPOLITAN,디트로이트,미국
DUB,DUBLIN,더블린,아일랜드
DVO,DAVAO,다바오,필리핀
DWF,DAYTON WRIGHR,데이톤,미국
DWN,DWN,브루나이,브루나이
DXB,DUBAI,두바이,아랍에미리트
DYG,DAYONG,장가계(대용),중화인민공화국
YMX,MONTREAL MIRABEL,몬트리얼,캐나다
YNJ,YANJI,연길,중화인민공화국
YNT,YANTAI,연대,중화인민공화국
YNY,YANGYANG,양양,대한민국
YNZ,YANCHEN,염성,중화인민공화국
YOK,YOKOHAMA,요코하마,일본
YQG,WINDSOR LOCKS,윈저락,캐나다
YQX,ST. THOMAS,세인트토마스,캐나다
YTO,TORONTO,토론토,캐나다
YUL,MONTREAL,몬트리올,캐나다
YVR,VANCOUVER,뱅쿠버,캐나다
YWG,WINNIPEG,위니펙,캐나다
YXX,EVOTHSFORD,애보츠포드,캐나다
YXY,WHITEHORSE,화이트호스,캐나다
YYC,CALGARY,캘거리,캐나다
YYZ,TORONTO,토론토,캐나다
YZD,DOWNSVIEW,다운스비위,캐나다
YZF,YELLOWKNIFE,옐로우나이프,캐나다
ZRH,ZURICH,취리히,스위스
SSC,SHAW AFB,쇼우공군비행장,미국
HMA,KHANTY-MANSIYSK,칸티-만시스크,러시아
RJO,IWAKUNI,이와쿠니,일본
PVU,PROVO MUNICIPAL,유니시펄공항,미국
CLD,CARLSBAD,칼스바드,미국
IUD,AL UDEID,알우데이드,카타르
LIN,MILANO,밀라노,이탈리아
GUW,ATYRAU,아테라우,카자흐스탄
FEZ,FEZ SAISS,페스사이스,모로코
CHO,CHOFU,초후,일본
CCS,CARACAS,카라카스,베네수엘라
MHV,MOJAVE,모하비,미국
ASR,KAYSERI,케이세리,터키
IKA,TEHRAN,테헤란,이란
UJN,ULJIN,울진,대한민국
TSJ,TSUSHIMA,쓰시마,일본
UUB,RAMENSKOYE,라멘스쿠예,러시아
KBP,BORYSPIL,보리스필,우크라이나
UUR,TAGANROG,타간로크,러시아
ABZ,ABERDEEN,에버딘,영국
CRQ,CARLSBAD,칼스바드,미국
AGR,AGRA,아그라,인도
NVI,NAVOI,나보이,우즈베키스탄
OAA,BAGRAM,바그람,아프가니스탄
MYZ,MACHYAMA,마츠야마,일본
AER,ADLER SOCHI,소치,러시아
YQB,QUEBEC,퀴백,캐나다
VCP,VIRACOPOS,브라코프스,브라질
BTS,BRATISLAVA,브라티슬로바,슬로바키아
UKB,KOBE,고베,일본
LIM,LIMA,리마,페루
RGT,MAMTU,남투,미얀마
PTK,PONTIAC,폰티악,미국
PTN,PINGDONG,핑퉁,대만
PTY,TOCUMEN INTERNATIONAL,토쿠멘,파나마
PUS,BUSAN(GIMHAE),김해,대한민국
PUY,PULA,풀라,크로아티아
PVG,PUDONG,푸동,중화인민공화국
PWK,CHICAGO,시카코,미국
PWQ,PAVLODAR,파블로다,카자흐스탄
QOM,OMIYA,오미야,일본
QPG,PAYALEBAR,파야레버,싱가포르
RAM,RAMINGNING,라밍닝,오스트레일리아
REK,REYKJAVIK APT ICELAN,레이퀘빅,영국
REP,SIEM REAP,씨엠립,캄보디아
RGN,YANGON,랑군,미얀마
RIO,RIO DE JANERIO,리오데자네이로,브라질
RIV,MARCH,캘리포니아,미국
RIX,RIGA,리가,라트비아
RMQ,TAICHUNG,따이쭝,대만
RMS,RAMSTEIN,램스타인,독일
RNO,RENO,리노,미국
ROG,ROGERS,로저스,미국
ROK,ROCKHAMPTON,록햄튼,오스트레일리아
ROM,ROME,로마,이탈리아
ROR,COROR,코로르,미국
ROV,ROSTOV,로스토프,러시아
ROW,ROSWELL,로스웰,미국
RSU,YOSU,여수,대한민국
RUH,RIYADH,리야드,사우디아라비아
RUN,RUSAKA,루사카,루안다
SAK,SAKHALINSK,사카린스크,러시아
SAN,SAN DIEGO,샌디아고,미국
SAT,SANANTINO,산안티노,미국
SAW,SABIHA GOKCEN,사비하,터키
SBA,SANTA BARBARA,산타바바라,미국
SCL,SANTIAGO,산티아고,칠레
SCW,SYKTYVKAR,식팁카르,러시아
SDA,BAGHDAD SADDAM,바그다드,이라크
SDJ,SENDAI,센다이,일본
SDN,SANDANE,샌다인,노르웨이
SEA,SEATTLE,시애틀,미국
SEL,SEOUL,서울,대한민국
SFO,SAN FRANCISCO,샌프란시스코,미국
SFS,SUBIC,슈빅,필리핀
SGF,SPRINGFIELD,스프링필드,미국
SGN,HOCHIMIN,호치민,베트남
SHA,HONGQIAO,홍차오,중화인민공화국
SHB,NAKASHIBETSU,나카시베츠,일본
SHD,STAUNTON,스타운톤,미국
SHE,SHENYANG,심양,중화인민공화국
SHJ,SHARJAH,샤자르,아랍에미리트
SHM,SHIRAHAMA,시라하마,일본
SHO,SHOKCHO,속초,대한민국
SIA,XI AN XIGUAN,시안,중화인민공화국
SIN,SINGAPORE,싱가폴,싱가포르
SJC,SAN JOSE CAL,산호세,미국
SJW,SHIJIAZHUANG,쉬지아쭈앙(석가장),중화인민공화국
SKA,SPOKANE,스포캐인,미국
SKD,SAMARKAND,사마르칸드,우즈베키스탄
SLC,SALT LAKE CITY,솔트레이크시티,미국
SMF,SACRAMENTO,사크라멘토,미국
SMX,SANTA MARIA,산타마리아,미국
SNK,SUNDUK,선덕,북한
SNN,SHANNON,샤논,아일랜드
SNP,ST PAUL ISLAND,세인트폴아이랜드,미국
SOF,SOPIA,소피아,불가리아
SOU,SOUTHAMPTON,사우샘프턴,영국
SPK,SAPPORO,삿보로,일본
SPL,SKIPOLE,스키폴,네덜란드
SPN,SAIPAN,사이판,미국
SPS,WICHITA,위치타,미국
SSN,SUNGNAM,성남(서울공항),대한민국
STL,ST LOUIS,세인트루이스,미국
STN,STENSTED,스텐스테드,영국
STO,STOCKHOLM,스톡홀룸,스웨덴
STP,ST PAUL MINN,세인트폴,미국
STR,SHUTTGARETTE,슈투트가르트,독일
SUB,SURABAYA,수라바야,인도네시아
SUU,TRAVIS,트라비스,미국
SUW,SUWAEN,수원,대한민국
SVO,SHEREMETYEVO,모스코바,러시아
SVX,EKATERINBURG,에카테린버그,러시아
SWA,SHANTOU,산토우,중화인민공화국
SWF,NEWBURGH,뉴버그,미국
SWU,SUWON,수원,대한민국
SYA,SHEMA,쉠마,미국
SYD,SYDNEY,시드니,오스트레일리아
SYO,SHONAI,쇼나이,일본
SYX,SANYA,산야,중화인민공화국
SZB,SULTAN ABDUL AZIZ,술탄압둘아지즈,말레이시아
SZG,SAZBURG,찰스부르크,오스트리아
SZX,SHENZHEN,센젠,중화인민공화국
TAE,DAEGU,대구,대한민국
TAK,TAKAMATSU,다가마스,일본
TAN,TAEAN,태안,대한민국
TAO,QINGDAO,청도,중화인민공화국
TAS,TASHKENT,타쉬켄트,우즈베키스탄
TCM,McCHORD,맥코드공군기지,미국
TEB,TETERBORO,티터보로,미국
THR,TEHRAN,테헤란,이란
TIJ,TIJUANA,티주아나,멕시코
TIN,TAINAN,타이난,대만
TIP,TRIPOLI,트리폴리,리비아
TJH,TOYOKA,토요오카,일본
TJM,TIUMEN,티우멘,중화인민공화국
TKK,TRUK,트럭,미국
TKS,TOKUSHIMA,도쿠시마,일본
TLC,TOLUCA,톨루카,멕시코
TLL,TALLINN,탈린,에스토니아
TLS,TOULOUSE,툴루즈,프랑스
TLV,TEL AVIV BLAGNAC,텔아비브,이스라엘
TNA,JINAN,지난,중화인민공화국
TNN,TAINAN,타이난,대만
TOF,TOMSK,톰스크,러시아
TOJ,MADRID,마드리드,스페인
TOL,TOLEDO,톨레도,미국
TOY,TOYAMA,도야마,일본
TPE,TAIPEI,대북,대만
TRG,TAURANGA,타우란자,뉴질랜드
TSE,ASTANA,아스타나,카자흐스탄
TSN,TIAN JIN,천진,중화인민공화국
TTJ,TOTTORI,토토리,일본
TTT,TAITUNG,타이둥,대만
TUL,TULSA,털사,미국
TUN,TUNIS,튀니즈,튀니지
TUS,TUCSON,툭슨,미국
TXG,TAICHUNG,타이쭝,대만
TXL,TEGEL(BERLIN),테겔(베를린),독일
TXN,TUNXI,퉁치,중화인민공화국
TYN,TAIYUAN,타이유안,중화인민공화국
TYO,TOKYO,동경,일본
UAB,INCIRLIK,인커릭,터키
UAM,ANDERSON,앤더슨공군기지,미국
UBJ,UBE,우베,일본
UFA,UFA,우파,러시아
UKC,MAGADAN,페트로로파블로브스크,러시아
ULN,ULAAN BAATAR,울란바토르,몽고
ULY,ULYANDVSK,울야노브스크,러시아
UMO,OSTAFYEVO,오스타예보,러시아
UMW,KAUNAS,카우나스,러시아
URC,URUMQI,우르무치,중화인민공화국
URT,SURAT TANN,수라트타니,타이
USN,ULSAN,울산,대한민국
USQ,USAK,우샤크,터키
UTP,UTAPAO,우타파오,타이
UUD,URANUTAE,울란우태,러시아
UUS,YUZHNO SAKHALINSK,사할린,러시아
VBS,BRESCIA,브레시아,이탈리아
VCE,VENICE,베니스,이탈리아
VCV,VICTORVILLE,빅터빌,미국
VCX,BRESCIA,브레시아,이탈리아
VIE,AUSTRIA VIENNA,비엔나,오스트리아
VIT,VICTORIA,빅토리아,스페인
VKO,MOSCOW(VNUKOVO),모스코바(보누코보),러시아
VLC,VALENCIA,발렌시아,스페인
VNY,VANNUYS,밴나이즈,미국
VPC,CATERSBILL,카터스빌,미국
VTE,VIENTIANE,빈탄,라오스
VVO,VLADIVOSTOK,블라디보스톡,러시아
WAS,WASHINGTON,워싱턴,미국
WAW,WARSAW,바르샤바,폴란드
WEH,WEIHAI,웨이하이,중화인민공화국
WJU,WONJU,원주,대한민국
WKE,WEIKE,웨이크,미국
WKJ,WAKANAYI,와카나이,일본
WRO,WROCLAW,브로츠와프,폴란드
WUH,WUHAN,유한,중화인민공화국
XCR,CHALONS,샤론스,프랑스
XFW,FINKENWEDER,함부르크,독일
XIY,XIANYANG,서안,중화인민공화국
XMN,XIAMEN,샤먼,중화인민공화국
XNA,FAYETTEVILLE,페이트빌,미국
XSP,SELETAR,셀레타,싱가포르
YCN,COCHRANE,코흐레인,캐나다
YEC,YEICHON,예천,대한민국
YEG,EDMONTON,에드먼튼,캐나다
YGJ,YONAGO,요나고,일본
YHZ,HALIFAX,헬리팍스,캐나다
YIP,DETROIT WILLOW RUN,윌로우런,미국
YKS,YAKUTSK,야쿠츠크,러시아
LGA,NEW YORK LA GUARDIA,뉴욕 라과디아,미국
LGB,LONG BEACH,롱비치,미국
LGG,LIEGE-BIERSET,리에쥬 비어셋,벨기에
LGK,LANGKAWL,랑카위,말레이시아
LGW,LONDON GATWICK,런던개트윅,영국
LHE,LAHORE,라호르,파키스탄
LHR,LONDON HEATHROW,런던히드로,영국
LIH,LIHUE,리후에,미국
LIS,LISBON,리스본,포르투갈
LIT,LITTLAC,리틀락,미국
LKO,LUCKNOW,루크노,인도
LLA,LULEA,룰레오,스웨덴
LLU,LAPULAPU,나푸나푸,필리핀
LON,LONDON,런던,영국
LOS,LAGOS,라고스,나이지리아
LTN,LUTON,런던 루턴,영국
LTS,ALTUS,오클라호마,미국
LUG,LUGANO,루가노,스위스
LUK,CINCINNATI,신시내티,미국
LUT,LUTON,루톤,미국
LUX,LUXEMBOURG,룩셈부르크,룩셈부르크
LYG,LAYONG,라용,중화인민공화국
MAA,MADRAS,마드라스,인도
MAD,MADRID BARAJAS,마드리드,스페인
MAJ,MAJURO,마주로,마셜제도
MAN,MANCHESTER,맨체스터,영국
MBB,MEBANBECE,메반베스,오스트레일리아
MBC,MANADO,마나도,인도네시아
MBE,MATHMOTO,마쯔모도,일본
MCI,KANSAS,켄사스,미국
MCO,ORLANDO,울란도,미국
MCT,MUSCAT,무스카트,오만
MCX,MAKHACHKALA,마하츠칼라,러시아
MDC,MANADO,마나도,인도네시아
MDG,MUDAN JIANG,무단지앙,중화인민공화국
MDT,MASBATE,메스베이트,필리핀
MDW,SHICAGO MIDWAY,미드웨이,미국
MDY,MIDWAY,미드웨이나프,미국
MEB,MELBOURNE ESSENDON,멜보른,오스트레일리아
MEL,MELBOURNE,멜보른,오스트레일리아
MEM,MEMPHIS,멤피스,미국
MES,MEDAN POLONIA,폴로니아,인도네시아
MEX,MEXICO,멕시코,멕시코
MFM,MACAU,마카오,마카오
MGF,MARINGA-IN-PARANA,마링가,브라질
MGM,MONTGOMERY DANNELLY,몽고메리다넬리,미국
MGQ,MOGADISHU,모가디슈,소말리아
MHD,MASHAD,마슈하드,이란
MHR,SACRAMENTO,사크라멘토,미국
MIA,MIAMI,마이애미,미국
MIC,MICRONESIA,마이크로네시아,미국
MIL,MILANO,밀라노,이탈리아
MKC,KANSAS CITY,캔사스시티,미국
MKE,MILWACKEE,밀워키,미국
MLA,MALTA,몰타,몰타공화국
MLE,MALE,말레,몰디브공화국
MMA,MALMO,말모,스웨덴
MMB,MEMAMBETSU,메만베츠,일본
MMJ,MATSUMOTO,마쓰모또,일본
MMK,MURMANSK,물만스크,러시아
MMU,MORRISTOWN MUNICPAN,모리스타운,미국
MMX,MALMO,말모,스웨덴
MNL,MANILA,마닐라,필리핀
MNS,MANAS,마나스,러시아
MOK,MOKPO,목포,대한민국
MOW,MOSCOW,모스코바,러시아
MPK,MOKPO,목포,대한민국
MQF,Maqnitoqorsk,마크니토코르스크,러시아
MRG,Mareeba,마리바,오스트레일리아
MRS,MARSEILLE PROVENCE,마르세이유-프로방스,프랑스
MRY,MONTEREY,몬테레이,미국
MSJ,MISAWA,미자와,일본
MSP,MINNEAPOLIS/ST.PAUL,미네아폴리스,미국
MSQ,MINSK,민스크,러시아
MSY,NEW ORLEANS,뉴올리안스,미국
MTJ,MONTROSE,몬트로즈,미국
MUC,MUNCHEN,뮌헨,독일
MWX,MUAN,무안,대한민국
MXP,MILAN MALPENSA,밀라노,이탈리아
MYJ,MATSUYAMA,마즈야마,일본
MYP,MARY,마리,투르크메니스탄
MYY,MIRI,미리,말레이시아
MZG,MAKUNG,마쿵,대만
MZJ,MARANA,마라나,미국
NAK,NAKHON RATCHASIMA,나콘라차시마,타이
NAL,NALCHIK,날칙,러시아
NAN,NADI,나디,피지
NBK,SUVARNABHUMI,수완나품,타이
NBO,NAIROBI,나이로비,케냐
NCE,NICE,니스,프랑스
NGB,NINGBD,닝보,중화인민공화국
NGF,KANEOHE BAY MCAF,카네오네,미국
NGO,NAGOYA,나고야,일본
NGS,NAGASAKI,나가사키,일본
NGU,NORFOLK,놀포크,미국
NHD,MINHAD AB Military,민하드(두바이),아랍에미리트
NJA,ATSUKI,아수끼,일본
NJC,Nizhnevartovsk Airport,니쯔네바토브스크,러시아
NKG,NANJING,난징,중화인민공화국
NKM,NAGOYA/KOMAKI,나고야/고마키,일본
NKW,DIEGO GARSIA,디에고 가르시아,미국
NMA,NAMANGAN,나망간,우즈베키스탄
NMG,NAMANGAN,나망간,우즈베키스탄
NNG,NANRING,난링,중화인민공화국
NOM,NOME,노옴,미국
NOP,MCTAN,맥탄,필리핀
NOU,NOUMEA,누메아,뉴칼레도니아
NOZ,NOVOKUZNETSK,노보쿠즈네츠크,러시아
NRD,TOKYO,나리타,일본
NRT,TOKYO NARITA,동경,일본
NTQ,NODO,노도,일본
NUE,NUREMBERG,뉘른베르크,독일
NUW,WHIDBEY,휘드데이,미국
NVY,NEYVELI INDIA,뉴텔리,인도
NYC,NEWYORK,뉴욕,미국
NYL,YUMA MCAS,유마해병항공기,미국
NYO,SKAYSTA,스카브스타,스웨덴
NYU,MYANMAR BAGAN,바겐,미얀마
OAK,OAKLAND,오크랜드(미),미국
OBO,OBIHIRO,오비히로,일본
OCK,OKLAHOMA,오크라호마,미국
ODM,ODM,오클랜드,뉴질랜드
OGG,KAHULUI,카울우이,미국
OHY,HADYBAD,하다아바드,인도
OIT,OITA,오이다,일본
OKA,OKINAWA,오끼나와,일본
OKD,SAPPORO-OKADAMA,삿보로,일본
OKI,OKI ISLAND,오키,일본
OKJ,OKAYAMA,오까야마,일본
OKO,YOKODA,요꼬다,일본
OMA,OHMA,오마하,미국
OME,NOME,놈,미국
OMS,OMSK,옴스크,러시아
ONJ,OTATE,오다테,일본
ONT,ONTARIO,온타리오,미국
ORD,CHICAGO O'HARE,시카고,미국
ORL,ORLANDO,올랜도,미국
ORY,ORLY,오를리,프랑스
OSA,OSAKA,오사카,일본
OSC,OSCODA,오스코다,미국
OSK,OSKARSHAMN,오스카,스웨덴
OSL,OSLO,오슬로,노르웨이
OSN,OSAN,오산,대한민국
OSS,OSH,오쉬,러시아
OTP,BUCURESTI,부쿠레슈티,루마니아
OVB,NOVOSIBIRSK,노보시비르스크,러시아
OZI,OZAR,오자르,인도
PAE,EVERETT,에버레트,미국
PAR,PARIS,파리,프랑스
PBH,PARO,파로,부탄
PBI,WESTPLMBEACH,웨스트팜비치,미국
PDX,PORTLAND,포틀랜드,미국
PEC,PELICAN,펠리칸,미국
PEE,PERM,페름,러시아
PEK,BEIGING,북경,중화인민공화국
PEN,PENANG,페낭,말레이시아
PES,PETROSABOSK,페트로자보스크,러시아
PHC,PORT HARCOURT,포트하커트,나이지리아
PHI,SICAM,시캠,브라질
PHL,PHILADELPHIA,필라델피아,미국
PHX,PHOENIX,피닉스,미국
PIE,ST PETERSBURG,세인트 피터즈버그,미국
PIK,PRESTWICK,프레스트윅,영국
PKC,PETROPAVLOVSK,페트로파블로브스키,러시아
PKO,KONA,코나,미국
PMI,PALMA DE MALLORCA,팔마 라스팔마스,스페인
PNE,PHILADELPHIA,필라델피아,도미니카
PNH,PHNOM PENH,프롬펜,캄보디아
PNI,POHNPEI,폼페이,미크로네시아
POM,PORTMORESBY,포트모레스비,파푸아뉴기니
PPS,PUERTO PRINCESA,프에프토프린세사,필리핀
PPT,TAHITI,타히티,프랑스
PRG,PRAGUE,파라구에,체코
PSA,PISA,갈릴레오갈릴레이,이탈리아
PSP,PAM SPRINGS,팜스프링스,미국
DYR,ANADYR,아나드르,러시아
DYU,DUSHAMBE,듀산베,러시아
EDF,ELMENDORF,엘멘도르프,미국
EDI,EDINBURGH,에덴버그,영국
EIL,ELSIN,엘슨,미국
EIN,EINDHOVEN,에인트호벤,네덜란드
EMA,NOTTINGHAM EAST MID,노팅햄이스트미들랜드,영국
ESB,ANKARA ESENBOGA,앙카라,터키
EVN,EREVAN,예레반,러시아
EWR,NEWYORK NEWARK,뉴왁,미국
FAB,FARNBOROUGH,판보로,영국
FAI,FAIRBANKS,페어뱅크스,미국
FCN,NORDHOLZ,노트홀즈,독일
FCO,ROME LEONARDO DA VIN,로마,이탈리아
FEG,FERGANA,페르가나,러시아
FJR,FUJAIRAH,푸자이라,아랍에미리트
FKB,KALSLUHE,칼스루헤,독일
FKJ,FUKUI,후꾸이,일본
FKS,FUKUSHIMA,후쿠시마,일본
FLL,FT. LAUDERDALE,포트로더데일,미국
FNI,NIMES,니메스,프랑스
FNJ,PYUNGYANG,평양,북한
FOC,FUZHOU,푸조우,중화인민공화국
FRA,FRANKFURT,프랑크푸르트,독일
FRG,FARMINGDALE,파밍데일,미국
FRU,FRUNZE,마나스,러시아
FTM,FUTEMA,후테마,일본
FUK,FUKUOKA,후쿠오카,일본
GAJ,YAMAGATA,야마가타,일본
GDN,GBANSK POIANB,그다니스크,헝가리
GDX,MAGADAN,마가단,러시아
GIG,RIO DE JANEIRO,리오데자네이로,브라질
GML,HOSTOMEL,호스토멜,우크라이나
GMP,SEOUL(GIMPO),김포,대한민국
GNB,GRENOBLE,그렌노블,프랑스
GOT,GOTEBORG,고테버그,스웨덴
GRR,GRAND RAPIDS,그랜드래피즈,미국
GRU,SAO PAULO,상파울로,브라질
GTF,GREATPOLS,그레이트폴스,미국
GUA,GUATEMALA CITY,과테말라시,콰테말라
GUM,GUAM AGANA FIELD,괌,미국
GVA,GENEVA,제네바,스위스
GYD,AZERBAIJAN,아제르바이잔,아제르바이잔
GZR,KURMITOLA,쿠르미토라,방글라데시
HAJ,HANOVER,하노버,독일
HAK,HAIKOU,하이커우,중화인민공화국
HAM,HAMBURG,함브르크,독일
HAN,HANOI,하노이,베트남
HEL,HELSINKI,헬싱키,핀란드
HET,HOHHOT,후허하오터,중화인민공화국
HFE,HEPEI,허폐,중화인민공화국
HGH,HANGZHOU,항조우,중화인민공화국
HGR,HAGERSTOWN,해거스타운,미국
HHA,HUANGHUA,후앙후아,중화인민공화국
HHH,HILTON HEAD ISLAND,힐튼 헤드 아일랜드,미국
HHN,HAHN,한,독일
HIJ,HIROSHIMA,히로시마,일본
HIK,HAIKAM,히캄,미국
HIN,CHINJU,진주,대한민국
HIO,PORTLAND HILLSBORO,힐스보로,미국
