Member,Series,DataFrame
rpow,rpow,rpow
rsub,rsub,rsub
rtruediv,rtruediv,rtruediv
sample,sample,sample
searchsorted,searchsorted,
select,select,select
select_dtypes,,select_dtypes
sem,sem,sem
set_axis,set_axis,set_axis
set_index,,set_index
set_value,set_value,set_value
shape,shape,shape
shift,shift,shift
size,size,size
skew,skew,skew
slice_shift,slice_shift,slice_shift
sort_index,sort_index,sort_index
sort_values,sort_values,sort_values
sortlevel,sortlevel,sortlevel
squeeze,squeeze,squeeze
stack,,stack
std,std,std
style,,style
str,str,
strides,strides,
sub,sub,sub
subtract,subtract,subtract
sum,sum,sum
swapaxes,swapaxes,swapaxes
swaplevel,swaplevel,swaplevel
tail,tail,tail
take,take,take
to_clipboard,to_clipboard,to_clipboard
to_csv,to_csv,to_csv
to_dense,to_dense,to_dense
to_dict,to_dict,to_dict
to_excel,to_excel,to_excel
to_feather,,to_feather
to_frame,to_frame,
to_gbq,,to_gbq
to_hdf,to_hdf,to_hdf
to_html,,to_html
to_json,to_json,to_json
to_latex,to_latex,to_latex
to_msgpack,to_msgpack,to_msgpack
to_panel,,to_panel
to_parquet,,to_parquet
to_period,to_period,to_period
to_pickle,to_pickle,to_pickle
to_records,,to_records
to_sparse,to_sparse,to_sparse
to_sql,to_sql,to_sql
to_stata,,to_stata
to_string,to_string,to_string
to_timestamp,to_timestamp,to_timestamp
to_xarray,to_xarray,to_xarray
tolist,tolist,
transform,transform,transform
transpose,transpose,transpose
truediv,truediv,truediv
truncate,truncate,truncate
tshift,tshift,tshift
tz_convert,tz_convert,tz_convert
tz_localize,tz_localize,tz_localize
unique,unique,
unstack,unstack,unstack
update,update,update
valid,valid,
value_counts,value_counts,
values,values,values
var,var,var
view,view,
where,where,where
xs,xs,xs
