기체번호,항공사,기종,정원_F,정원_C,정원_W,정원_Y,총정원
VP-BRF,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BRH,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BRR,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BZA,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BZB,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BON,Aeroflot,B737-8LJ,0,20,0,138,158
VQ-BVO,Aeroflot,B737-8LJ,0,20,0,138,158
VQ-BVP,Aeroflot,B737-8LJ,0,20,0,138,158
VQ-BWA,Aeroflot,B737-8LJ,0,20,0,138,158
VQ-BWB,Aeroflot,B737-8LJ,0,20,0,138,158
VQ-BWC,Aeroflot,B737-8LJ,0,20,0,138,158
VQ-BWD,Aeroflot,B737-8LJ,0,20,0,138,158
VQ-BWE,Aeroflot,B737-8LJ,0,20,0,138,158
VQ-BWF,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BCD,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BCF,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BCG,Aeroflot,B737-8LJ,0,20,0,138,158
VQ-BHB,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BFB,Aeroflot,B737-8LJ,0,20,0,138,158
VQ-BHC,Aeroflot,B737-8LJ,0,20,0,138,158
VQ-BHD,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BGG,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BGI,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BGN,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BMB,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BMO,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BNC,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BKA,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BKE,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BKK,Aeroflot,B737-8LJ,0,20,0,138,158
VP-BNQ,Aeroflot,B737-8MC,0,20,0,138,158
VP-BMI,Aeroflot,B737-8MC,0,20,0,138,158
VP-BML,Aeroflot,B737-8MC,0,20,0,138,158
VP-BPF,Aeroflot,B737-8MC,0,20,0,138,158
VP-BNP,Aeroflot,B737-8MC,0,20,0,138,158
VP-BMM,Aeroflot,B737-8MC,0,20,0,138,158
VP-BKF,Aeroflot,B737-8MC,0,20,0,138,158
VP-BKN,Aeroflot,B737-8MC,0,20,0,138,158
VP-BSB,Aeroflot,B737-8MC,0,20,0,138,158
VP-BMD,Aeroflot,B737-8MC,0,20,0,138,158
RA-89014,Aeroflot,SU100-95B,0,12,0,75,87
RA-89015,Aeroflot,SU100-95B,0,12,0,75,87
RA-89017,Aeroflot,SU100-95B,0,12,0,75,87
RA-89022,Aeroflot,SU100-95B,0,12,0,75,87
RA-89023,Aeroflot,SU100-95B,0,12,0,75,87
RA-89032,Aeroflot,SU100-95B,0,12,0,75,87
RA-89024,Aeroflot,SU100-95B,0,12,0,75,87
RA-89025,Aeroflot,SU100-95B,0,12,0,75,87
RA-89026,Aeroflot,SU100-95B,0,12,0,75,87
RA-89027,Aeroflot,SU100-95B,0,12,0,75,87
RA-89028,Aeroflot,SU100-95B,0,12,0,75,87
RA-89041,Aeroflot,SU100-95B,0,12,0,75,87
RA-89042,Aeroflot,SU100-95B,0,12,0,75,87
RA-89043,Aeroflot,SU100-95B,0,12,0,75,87
RA-89044,Aeroflot,SU100-95B,0,12,0,75,87
RA-89045,Aeroflot,SU100-95B,0,12,0,75,87
RA-89046,Aeroflot,SU100-95B,0,12,0,75,87
RA-89047,Aeroflot,SU100-95B,0,12,0,75,87
RA-89052,Aeroflot,SU100-95B,0,12,0,75,87
RA-89051,Aeroflot,SU100-95B,0,12,0,75,87
RA-89061,Aeroflot,SU100-95B,0,12,0,75,87
RA-89062,Aeroflot,SU100-95B,0,12,0,75,87
RA-89056,Aeroflot,SU100-95B,0,12,0,75,87
RA-89057,Aeroflot,SU100-95B,0,12,0,75,87
RA-89058,Aeroflot,SU100-95B,0,12,0,75,87
RA-89063,Aeroflot,SU100-95B,0,12,0,75,87
RA-89059,Aeroflot,SU100-95B,0,12,0,75,87
RA-89064,Aeroflot,SU100-95B,0,12,0,75,87
RA-89060,Aeroflot,SU100-95B,0,12,0,75,87
RA-89065,Aeroflot,SU100-95B,0,12,0,75,87
RA-89097,Aeroflot,SU100-95B,0,12,0,75,87
RA-89098,Aeroflot,SU100-95B,0,12,0,75,87
RA-89099,Aeroflot,SU100-95B,0,12,0,75,87
RA-89100,Aeroflot,SU100-95B,0,12,0,75,87
RA-89101,Aeroflot,SU100-95B,0,12,0,75,87
RA-89102,Aeroflot,SU100-95B,0,12,0,75,87
RA-89103,Aeroflot,SU100-95B,0,12,0,75,87
RA-89104,Aeroflot,SU100-95B,0,12,0,75,87
RA-89105,Aeroflot,SU100-95B,0,12,0,75,87
RA-89106,Aeroflot,SU100-95B,0,12,0,75,87
RA-89107,Aeroflot,SU100-95B,0,12,0,75,87
RA-89108,Aeroflot,SU100-95B,0,12,0,75,87
VP-BWN,Aeroflot,A321-211,0,28,0,142,170
VP-BWO,Aeroflot,A321-211,0,28,0,142,170
VP-BQX,Aeroflot,A321-211,0,28,0,142,170
VQ-BEI,Aeroflot,A321-211,0,28,0,142,170
VP-BUP,Aeroflot,A321-211,0,28,0,142,170
VQ-BEE,Aeroflot,A321-211,0,28,0,142,170
VP-BUP,Aeroflot,A321-211,0,28,0,142,170
VP-BUM,Aeroflot,A321-211,0,28,0,142,170
VP-BRW,Aeroflot,A321-211,0,28,0,142,170
VP-BQT,Aeroflot,A321-211,0,28,0,142,170
VP-BQS,Aeroflot,A321-211,0,28,0,142,170
VP-BQR,Aeroflot,A321-211,0,28,0,142,170
VP-BWH,Aeroflot,A320-214,0,20,0,120,140
VP-BWI,Aeroflot,A320-214,0,20,0,120,140
VP-BWM,Aeroflot,A320-214,0,20,0,120,140
VP-BQP,Aeroflot,A320-214,0,20,0,120,140
VP-BQV,Aeroflot,A320-214,0,20,0,120,140
VP-BQW,Aeroflot,A320-214,0,20,0,120,140
VP-BRY,Aeroflot,A320-214,0,20,0,120,140
VP-BRX,Aeroflot,A320-214,0,20,0,120,140
VP-BQU,Aeroflot,A320-214,0,20,0,120,140
VP-BKX,Aeroflot,A320-214,0,20,0,120,140
VQ-BAZ,Aeroflot,A320-214,0,20,0,120,140
VQ-BBB,Aeroflot,A320-214,0,20,0,120,140
VP-BMR,Aeroflot,B777-21H,12,42,0,220,274
CP-2923,Aeroflot,B737-7Q8,0,0,0,136,136
P4-KBA,Air Astana,A320-232,0,16,0,132,148
P4-KBB,Air Astana,A320-232,0,16,0,132,148
P4-KBC,Air Astana,A320-232,0,16,0,132,148
P4-KBD,Air Astana,A320-232,0,16,0,132,148
P4-KBE,Air Astana,A320-232,0,16,0,132,148
P4-KBF,Air Astana,A320-232,0,16,0,132,148
P4-KBG,Air Astana,A320-232,0,16,0,132,148
P4-VAS,Air Astana,A320-232,0,16,0,132,148
P4-KBH,Air Astana,A320-271N,0,16,0,132,148
P4-KDA,Air Astana,A321-231,0,28,0,151,179
P4-KDB,Air Astana,A321-231,0,28,0,151,179
P4-NAS,Air Astana,A321-231,0,30,0,165,195
P4-OAS,Air Astana,A321-231,0,28,0,151,179
P4-KDC,Air Astana,A321-271N,0,28,0,151,179
P4-EAS,Air Astana,B757-2G5,0,16,0,150,166
P4-FAS,Air Astana,B757-2G5,0,16,0,150,166
P4-GAS,Air Astana,B757-2G5,0,16,0,150,166
P4-KCU,Air Astana,B757-23N,0,16,0,150,166
P4-MAS,Air Astana,B757-28A,0,16,0,150,166
P4-KEA,Air Astana,B767-3KY,0,30,0,193,223
P4-KEB,Air Astana,B767-3KY,0,30,0,193,223
P4-KEC,Air Astana,B767-3KY,0,30,0,193,223
P4-KCC,Air Astana,ERJ-190LR,0,9,0,88,97
P4-KCD,Air Astana,ERJ-190LR,0,9,0,88,97
P4-KCE,Air Astana,ERJ-190LR,0,9,0,88,97
P4-KCF,Air Astana,ERJ-190LR,0,9,0,88,97
P4-KCG,Air Astana,ERJ-190LR,0,9,0,88,97
P4-KCH,Air Astana,ERJ-190LR,0,9,0,88,97
P4-KCI,Air Astana,ERJ-190LR,0,9,0,88,97
P4-KCJ,Air Astana,ERJ-190LR,0,9,0,88,97
P4-KCK,Air Astana,ERJ-190LR,0,9,0,88,97
P4-YAS,Air Astana,A319-132,0,12,0,114,126
EX-37501,Air Kyrgyzstan,B737-59D,0,0,0,122,122
EX-37402,Air Manas,B737-42R,0,0,0,168,168
EX-37802,Air Manas,B737-82R,0,0,0,189,189
EX-37801,Air Manas,B737-82R,0,0,0,189,189
TC-ATD,AtlasGlobal,A319-112,0,8,0,126,134
TC-ATT,AtlasGlobal,A320-233,0,8,0,156,164
TC-FBR,AtlasGlobal,A320-232,0,0,0,180,180
TC-ETM,AtlasGlobal,A321-131,0,12,0,192,204
TC-ETN,AtlasGlobal,A321-131,0,12,0,192,204
TC-AGG,AtlasGlobal,A321-231,0,12,0,192,204
TC-AGI,AtlasGlobal,A321-231,0,8,0,189,197
TC-AGS,AtlasGlobal,A321-231,0,12,0,192,204
TC-ATV,AtlasGlobal,A321-211,0,12,0,192,204
TC-ATE,AtlasGlobal,A321-211,0,12,0,192,204
TC-ATF,AtlasGlobal,A321-211,0,12,0,192,204
TC-ATH,AtlasGlobal,A321-231,0,12,0,192,204
TC-ATR,AtlasGlobal,A321-211,0,0,0,216,216
TC-ETF,AtlasGlobal,A321-231,0,0,0,216,216
TC-ETV,AtlasGlobal,A321-231,0,0,0,216,216
TC-SNT,AtlasGlobal,B737-8HC,0,0,0,189,189
TC-ATM,AtlasGlobal,A320-232,0,8,0,156,164
TC-ATK,AtlasGlobal,A320-232,0,8,0,156,164
TC-AGU,AtlasGlobal,A320-232,0,8,0,156,164
TC-AGO,AtlasGlobal,A320-232,0,8,0,156,164
TC-ABL,AtlasGlobal,A320-214,0,8,0,156,164
EX-32005,Avia Traffic Company,A320-231,0,0,0,180,180
EX-32007,Avia Traffic Company,A320-231,0,0,0,180,180
EX-37010,Avia Traffic Company,B737-3L9,0,0,0,148,148
EX-37008,Avia Traffic Company,B737-330,0,0,0,148,148
EX-37012,Avia Traffic Company,B737-33A,0,0,0,148,148
EX-37015,Avia Traffic Company,B737-3K2,0,0,0,148,148
EX-27002,Avia Traffic Company,Bae 146-200,0,0,0,84,84
EX-27007,Avia Traffic Company,Bae 146-200,0,0,0,84,84
EX-27003,Avia Traffic Company,Avro RJ85,0,0,0,96,96
EX-27005,Avia Traffic Company,Avro RJ85,0,0,0,96,96
EW-254PA,Belavia,B737-3Q8,0,0,0,148,148
EW-282PA,Belavia,B737-3Q8,0,0,0,148,148
EW-283PA,Belavia,B737-3Q8,0,0,0,148,148
EW-308PA,Belavia,B737-3K2,0,0,0,148,148
EW-336PA,Belavia,B737-3Q8,0,0,0,148,148
EW-366PA,Belavia,B737-31S,0,0,0,148,148
EW-404PA,Belavia,B737-3L9,0,0,0,148,148
EW-407PA,Belavia,B737-36M,0,0,0,148,148
EW-250PA,Belavia,B737-524,0,0,0,120,120
EW-251PA,Belavia,B737-5Q8,0,0,0,123,123
EW-252PA,Belavia,B737-524,0,0,0,120,120
EW-253PA,Belavia,B737-524,0,0,0,120,120
EW-290PA,Belavia,B737-5Q8,0,0,0,123,123
EW-294PA,Belavia,B737-505,0,0,0,148,148
EW-437PA,Belavia,B737-8K5,0,0,0,189,189
EW-438PA,Belavia,B737-86Q,0,0,0,186,186
EW-455PA,Belavia,B737-8ZM,0,0,0,189,189
EW-456PA,Belavia,B737-8ZM,0,0,0,189,189
EW-457PA,Belavia,B737-8ZM,0,0,0,189,189
EW-100PJ,Belavia,CRJ-100ER,0,0,0,50,50
EW-276PJ,Belavia,CRJ-200ER,0,0,0,50,50
EW-277PJ,Belavia,CRJ-200ER,0,0,0,50,50
EW-303PJ,Belavia,CRJ-200LR,0,0,0,50,50
EW-340PO,Belavia,ERJ-175LR,0,12,0,64,76
EW-341PO,Belavia,ERJ-175LR,0,12,0,64,76
EW-512PO,Belavia,ERJ-175LR,0,12,0,64,76
EW-399PO,Belavia,ERJ-195LR,0,11,0,96,107
EW-400PO,Belavia,ERJ-195LR,0,11,0,96,107
B-5068,China Southern Airlines,B737-71B,0,8,24,88,120
B-5069,China Southern Airlines,B737-71B,0,8,24,88,120
B-5070,China Southern Airlines,B737-71B,0,8,24,88,120
B-2169,China Southern Airlines,B737-71B,0,8,24,88,120
B-2620,China Southern Airlines,B737-71B,0,8,24,88,120
B-2622,China Southern Airlines,B737-71B,0,8,24,88,120
B-2916,China Southern Airlines,B737-71B,0,8,24,88,120
B-2917,China Southern Airlines,B737-71B,0,8,24,88,120
B-5232,China Southern Airlines,B737-71B,0,8,24,88,120
B-5233,China Southern Airlines,B737-71B,0,8,24,88,120
B-5236,China Southern Airlines,B737-71B,0,8,24,88,120
B-5238,China Southern Airlines,B737-71B,0,8,24,88,120
B-5239,China Southern Airlines,B737-71B,0,8,24,88,120
B-5240,China Southern Airlines,B737-71B,0,8,24,88,120
B-5241,China Southern Airlines,B737-71B,0,8,24,88,120
B-5247,China Southern Airlines,B737-71B,0,8,24,88,120
B-5250,China Southern Airlines,B737-71B,0,8,24,88,120
B-5252,China Southern Airlines,B737-71B,0,8,24,88,120
B-5253,China Southern Airlines,B737-71B,0,8,24,88,120
B-5251,China Southern Airlines,B737-71B,0,8,24,88,120
B-5275,China Southern Airlines,B737-71B,0,8,24,88,120
B-5281,China Southern Airlines,B737-71B,0,8,24,88,120
B-5285,China Southern Airlines,B737-71B,0,8,24,88,120
B-5283,China Southern Airlines,B737-71B,0,8,24,88,120
B-5290,China Southern Airlines,B737-71B,0,8,24,88,120
B-5291,China Southern Airlines,B737-71B,0,8,24,88,120
B-5147,China Southern Airlines,B737-81B,0,8,24,132,164
B-5149,China Southern Airlines,B737-81B,0,8,24,132,164
B-5163,China Southern Airlines,B737-81B,0,8,24,132,164
B-5165,China Southern Airlines,B737-81B,0,8,24,132,164
B-5156,China Southern Airlines,B737-81Q,0,8,24,132,164
B-5157,China Southern Airlines,B737-81Q,0,8,24,132,164
B-5123,China Southern Airlines,B737-83N,0,8,21,130,159
B-5125,China Southern Airlines,B737-83N,0,8,21,130,159
B-5126,China Southern Airlines,B737-83N,0,8,21,130,159
B-5127,China Southern Airlines,B737-83N,0,8,21,130,159
B-5128,China Southern Airlines,B737-83N,0,8,21,130,159
B-5129,China Southern Airlines,B737-83N,0,8,21,130,159
B-2693,China Southern Airlines,B737-81B,0,8,24,129,161
B-2694,China Southern Airlines,B737-81B,0,8,24,129,161
B-2695,China Southern Airlines,B737-81B,0,8,24,129,161
B-2696,China Southern Airlines,B737-81B,0,8,24,129,161
B-2697,China Southern Airlines,B737-81B,0,8,24,129,161
B-5020,China Southern Airlines,B737-81B,0,8,24,129,161
B-5021,China Southern Airlines,B737-81B,0,8,24,129,161
B-5022,China Southern Airlines,B737-81B,0,8,24,129,161
B-5040,China Southern Airlines,B737-81B,0,8,24,129,161
B-5041,China Southern Airlines,B737-81B,0,8,24,129,161
B-5042,China Southern Airlines,B737-81B,0,8,24,129,161
B-5067,China Southern Airlines,B737-81B,0,8,24,129,161
B-5166,China Southern Airlines,B737-81B,0,8,24,132,164
B-5112,China Southern Airlines,B737-81B,0,8,24,129,161
B-5113,China Southern Airlines,B737-81B,0,8,24,129,161
B-5189,China Southern Airlines,B737-81B,0,8,24,132,164
B-5190,China Southern Airlines,B737-81B,0,8,24,132,164
B-5191,China Southern Airlines,B737-81B,0,8,24,132,164
B-5192,China Southern Airlines,B737-81B,0,8,24,132,164
B-5193,China Southern Airlines,B737-81B,0,8,24,132,164
B-5195,China Southern Airlines,B737-81B,0,8,24,132,164
B-5421,China Southern Airlines,B737-81B,0,8,24,132,164
B-5420,China Southern Airlines,B737-81B,0,8,24,132,164
B-5300,China Southern Airlines,B737-81B,0,8,24,132,164
B-5310,China Southern Airlines,B737-81B,0,8,24,132,164
B-5419,China Southern Airlines,B737-81B,0,8,24,132,164
B-5339,China Southern Airlines,B737-81B,0,8,24,132,164
B-5340,China Southern Airlines,B737-81B,0,8,24,132,164
B-5356,China Southern Airlines,B737-81B,0,8,24,132,164
B-5468,China Southern Airlines,B737-81B,0,8,24,132,164
B-5469,China Southern Airlines,B737-81B,0,8,24,132,164
B-5445,China Southern Airlines,B737-81B,0,8,24,132,164
B-5446,China Southern Airlines,B737-81B,0,8,24,132,164
B-1923,China Southern Airlines,B737-86N,0,8,24,132,164
B-5598,China Southern Airlines,B737-86J,0,8,24,132,164
B-5586,China Southern Airlines,B737-86J,0,8,24,132,164
B-5597,China Southern Airlines,B737-81B,0,8,24,132,164
B-1918,China Southern Airlines,B737-81B,0,8,24,132,164
B-5641,China Southern Airlines,B737-81B,0,8,24,132,164
B-5640,China Southern Airlines,B737-81B,0,8,24,132,164
B-5643,China Southern Airlines,B737-81B,0,8,24,132,164
B-1951,China Southern Airlines,B737-81B,0,8,24,132,164
B-5645,China Southern Airlines,B737-81B,0,8,24,132,164
B-1955,China Southern Airlines,B737-81B,0,8,24,132,164
B-1717,China Southern Airlines,B737-81B,0,8,24,132,164
B-5675,China Southern Airlines,B737-81B,0,8,24,132,164
B-5676,China Southern Airlines,B737-81B,0,8,24,132,164
B-5677,China Southern Airlines,B737-81B,0,8,24,132,164
B-5678,China Southern Airlines,B737-81B,0,8,24,132,164
B-5738,China Southern Airlines,B737-81B,0,8,24,132,164
B-5697,China Southern Airlines,B737-81B,0,8,24,132,164
B-5646,China Southern Airlines,B737-81B,0,8,24,132,164
B-5698,China Southern Airlines,B737-81B,0,8,24,132,164
B-1718,China Southern Airlines,B737-81B,0,8,24,132,164
B-5699,China Southern Airlines,B737-81B,0,8,24,132,164
B-5715,China Southern Airlines,B737-81B,0,8,24,132,164
B-5716,China Southern Airlines,B737-81B,0,8,24,132,164
B-5717,China Southern Airlines,B737-81B,0,8,24,132,164
B-5718,China Southern Airlines,B737-81B,0,8,24,132,164
B-5719,China Southern Airlines,B737-81B,0,8,24,132,164
B-5720,China Southern Airlines,B737-81B,0,8,24,132,164
B-5721,China Southern Airlines,B737-81B,0,8,24,132,164
B-5739,China Southern Airlines,B737-81B,0,8,24,132,164
B-5740,China Southern Airlines,B737-81B,0,8,24,132,164
B-5741,China Southern Airlines,B737-81B,0,8,24,132,164
B-5742,China Southern Airlines,B737-81B,0,8,24,132,164
B-5743,China Southern Airlines,B737-81B,0,8,24,132,164
B-5745,China Southern Airlines,B737-81B,0,8,24,132,164
B-5759,China Southern Airlines,B737-81B,0,8,24,132,164
B-5762,China Southern Airlines,B737-81B,0,8,24,132,164
B-5766,China Southern Airlines,B737-81B,0,8,24,132,164
B-5746,China Southern Airlines,B737-81B,0,8,24,132,164
B-5769,China Southern Airlines,B737-81B,0,8,24,132,164
B-5770,China Southern Airlines,B737-81B,0,8,24,132,164
B-5836,China Southern Airlines,B737-81B,0,8,24,132,164
B-5837,China Southern Airlines,B737-81B,0,8,24,132,164
B-5760,China Southern Airlines,B737-81B,0,8,24,132,164
B-5761,China Southern Airlines,B737-81B,0,8,24,132,164
B-5767,China Southern Airlines,B737-81B,0,8,24,132,164
B-5768,China Southern Airlines,B737-81B,0,8,24,132,164
B-5747,China Southern Airlines,B737-81B,0,8,24,132,164
B-5609,China Southern Airlines,B737-81B,0,8,24,132,164
B-5596,China Southern Airlines,B737-81B,0,8,24,132,164
B-1919,China Southern Airlines,B737-81B,0,8,24,132,164
B-5587,China Southern Airlines,B737-81B,0,8,24,132,164
